version;datetime;validation;test;activation;b1;b2;batch_size;dropout;gamma_pi;lamda;learning_rate;len_test;len_train;len_val;mode;momentum;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;neg_slope;nesterov;num_hidden_layers;optim;scaler
34;2024-05-24 07:12:40.998980;0,5308387875556946;;selu;0,24710359973266932;0,3653459206211226;256;;0,9499383112162336;0,0482310860974341;0,0015739238825594353;2195;17369;5099;vanilla;;11;28,0;3,0;18,0;15,0;;;5;adam;minmax
35;2024-05-24 07:14:48.549155;0,5180121660232544;;leaky_relu;;;512;;0,7882068035047074;0,02875743715516285;0,003943682207629065;2195;17369;5099;batchnorm;0,033068746444040745;19;23,0;25,0;24,0;;0,05760380705652604;False;4;sgd;minmax
36;2024-05-24 07:17:44.619816;0,5304276347160339;;relu;0,1244511794699032;0,16951157834948777;256;0,19298896327143159;0,8795662119838301;0,014818887715894388;0,002747894831670962;2195;17369;5099;dropout;;5;7,0;10,0;19,0;28,0;;;5;adam;minmax
37;2024-05-24 07:20:13.402792;0,534984290599823;;leaky_relu;0,33884889662066686;0,2967998104114115;16;;0,7363912225057545;0,055329398382703676;0,001491579881958962;2195;17369;5099;vanilla;;17;25,0;18,0;28,0;;0,08766333702902063;;4;adam;maxabs
38;2024-05-24 07:24:45.914906;0,5355738997459412;;leaky_relu;0,19546005088740426;0,28606726652604453;16;;0,6934186682681375;0,05659067544131555;0,0013114252976268578;2195;17369;5099;vanilla;;17;25,0;;;;0,09750909298241149;;2;adam;maxabs
39;2024-05-24 07:29:53.927620;0,5338050127029419;;leaky_relu;0,35502825427778606;0,2699861470517473;16;;0,7357863085023957;0,058365347387928104;0,0015743225540700513;2195;17369;5099;vanilla;;16;30,0;;;;0,09815513410391195;;2;adam;maxabs
40;2024-05-24 07:34:19.459412;0,5310534834861755;;leaky_relu;;;16;;0,6042990788194352;0,06713030911664918;0,0024613469491446514;2195;17369;5099;vanilla;0,12304050926803216;18;26,0;;;;0,08742094224039905;True;2;sgd;maxabs
41;2024-05-24 07:40:19.431356;0,5334119200706482;;leaky_relu;0,35840349482234723;0,2825679293107056;16;;0,717056065966773;0,05685695831007229;0,001409129312068577;2195;17369;5099;vanilla;;17;30,0;;;;0,09991543591086441;;2;adam;maxabs
42;2024-05-24 07:44:44.109815;0,5343946814537048;;leaky_relu;0,3863615864490875;0,2813601706732237;16;;0,7380330567359511;0,05904603965614439;0,0014236718654327823;2195;17369;5099;vanilla;;15;28,0;;;;0,09164127235791783;;2;adam;maxabs
43;2024-05-24 07:49:07.886027;0,5357704162597656;;leaky_relu;0,1953745146374786;0,3636924467217168;16;;0,6741643532305435;0,0523927563823755;0,0021346119532391922;2195;17369;5099;vanilla;;14;;;;;0,0892621340046012;;1;adam;maxabs
44;2024-05-24 07:55:41.340062;0,5357704162597656;;leaky_relu;0,40891208801720247;0,3699647457718641;16;;0,6830388242442367;0,05531560396700248;0,0038458035277581554;2195;17369;5099;vanilla;;11;;;;;0,08910061303736314;;1;adam;maxabs
45;2024-05-24 07:59:57.527631;0,53282231092453;;selu;0,28917057525559187;0,36629917731410605;32;;0,6918522797624261;0,053221368781929235;0,00445630927077233;2195;17369;5099;vanilla;;12;;;;;;;1;adam;maxabs
46;2024-05-24 08:05:03.660277;0,5270965099334717;;leaky_relu;0,4299593233745446;0,3411831633234499;64;;0,6647493956761472;0,06894164528157222;0,00218069040712936;2195;17369;5099;vanilla;;8;;;;;0,08280114174184854;;1;adam;maxabs
47;2024-05-24 08:08:28.411038;0,536556601524353;;leaky_relu;0,24577003724997298;0,21899825665143363;16;;0,7876437040782621;0,07344245464544949;0,0034215479154820093;2195;17369;5099;vanilla;;14;;;;;0,09025955713075054;;1;adam;maxabs
