version;datetime;validation;test;activation;b1;b2;batch_size;dropout;factor;factor_flag;factor_scaler;learning_rate;len_test;len_train;len_val;mode;momentum;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;neg_slope;nesterov;num_hidden_layers;optim;scaler
71;2024-05-10 13:08:20.293215;0,5322265625;;leaky_relu;;;256;;74,0;True;normalizer;0,7610691858588735;2631;17786;5269;vanilla;0,2616395828187589;29;7,0;23,0;22,0;19,0;0,046466451532007985;False;5;sgd;minmax
72;2024-05-10 13:09:05.094744;0,530468761920929;;leaky_relu;;;256;;79,0;True;normalizer;0,5622876464400342;2631;17786;5269;vanilla;0,1767920361034001;28;11,0;26,0;19,0;28,0;0,041046565135121046;False;5;sgd;minmax
73;2024-05-10 13:09:46.020293;0,530468761920929;;leaky_relu;;;256;;76,0;True;normalizer;0,47092251202292607;2631;17786;5269;vanilla;0,21589352427873146;27;6,0;6,0;12,0;23,0;0,03463538807412388;False;5;sgd;minmax
74;2024-05-10 13:10:25.249750;0,251953125;;leaky_relu;;;256;;10,0;True;minmax;0,8785096781837244;2631;17786;5269;vanilla;0,3180237079950386;30;9,0;25,0;25,0;;0,04571599958671227;False;4;sgd;minmax
75;2024-05-10 13:10:59.631812;0,529296875;;leaky_relu;;;256;;71,0;True;normalizer;0,6837288918652056;2631;17786;5269;vanilla;0,13452776732481334;25;7,0;28,0;16,0;16,0;0,03920536552156714;False;5;sgd;minmax
76;2024-05-10 13:11:41.143825;0,2520896792411804;;leaky_relu;;;16;;10,0;True;maxabs;0,9873306356983217;2631;17786;5269;vanilla;0,41028767775947256;28;5,0;27,0;23,0;;0,005201154093147926;False;4;sgd;minmax
77;2024-05-10 13:14:45.651480;0,4596036672592163;;leaky_relu;0,7253793605856068;0,7288692708958284;32;;87,0;True;normalizer;0,4478538290425425;2631;17786;5269;vanilla;;24;8,0;21,0;20,0;28,0;0,029783492394202776;;5;adam;normalizer
78;2024-05-10 13:17:42.236112;0,5295350551605225;;leaky_relu;;;128;;82,0;True;normalizer;0,5572105017693523;2631;17786;5269;vanilla;0,16870325140171968;26;4,0;24,0;;;0,036522943883268;False;3;sgd;maxabs
79;2024-05-10 13:18:36.001958;0,5306640863418579;;relu;;;256;;67,0;True;normalizer;0,7655481710140168;2631;17786;5269;vanilla;0,544484965393807;29;9,0;26,0;26,0;14,0;;False;5;sgd;minmax
80;2024-05-10 13:19:14.794777;0,5248047113418579;;selu;;;256;0,3330216374688116;;False;;0,2711131974494706;2631;17786;5269;dropout;0,23347602150078606;16;6,0;16,0;;;;False;3;sgd;minmax
