;draw_pred;home_pred;away_pred;;draw_pred;home_pred;away_pred;prediction;prediction;label_x;config.;folder;epoch;label_y
2501006;0.3030742406845093;0.36511826515197754;0.33180755376815796;;0.28802430629730225;0.36240363121032715;0.3495721220970154;1.0;1.0;0.0;41.0;0.0;99.0;Angers SCO - Nice, 1 - 1
2565801;0.13255982100963593;0.8286001086235046;0.038840148597955704;;0.0740402415394783;0.8566597104072571;0.0693000927567482;1.0;1.0;1.0;41.0;0.0;99.0;Getafe - Deportivo La Coru\u00f1a, 3 - 0
2516834;0.3034796118736267;0.3605250120162964;0.3359954059123993;;0.29475268721580505;0.3276556432247162;0.37759166955947876;1.0;2.0;1.0;41.0;0.0;99.0;Eintracht Frankfurt - Werder Bremen, 2 - 1
2501040;0.18760883808135986;0.7322476506233215;0.08014341443777084;;0.23640161752700806;0.6754480600357056;0.08815041184425354;1.0;1.0;1.0;41.0;0.0;99.0;Olympique Marseille - Nice, 2 - 1
2576215;0.2894716262817383;0.18573182821273804;0.5247965455055237;;0.2814038097858429;0.14874811470508575;0.5698480010032654;2.0;2.0;2.0;41.0;0.0;99.0;Cagliari - Napoli, 0 - 5
2500936;0.2719619572162628;0.5234109163284302;0.204627126455307;;0.27514779567718506;0.4974759817123413;0.22737623751163483;1.0;1.0;0.0;41.0;0.0;99.0;Amiens SC - Toulouse, 0 - 0
2576320;0.2530842423439026;0.5817281603813171;0.16518761217594147;;0.2697221636772156;0.5839018225669861;0.14637593924999237;1.0;1.0;2.0;41.0;0.0;99.0;Bologna - Chievo, 1 - 2
2565709;0.30573612451553345;0.3104768693447113;0.3837869465351105;;0.29813772439956665;0.34180572628974915;0.36005663871765137;2.0;2.0;2.0;41.0;0.0;99.0;Deportivo La Coru\u00f1a - Celta de Vigo, 1 - 3
2500838;0.2973346710205078;0.41116657853126526;0.2914987802505493;;0.3376839756965637;0.39894941449165344;0.26336660981178284;1.0;1.0;1.0;41.0;0.0;99.0;Lille - Toulouse, 1 - 0
2500887;0.2531264126300812;0.5816093683242798;0.16526420414447784;;0.27911898493766785;0.5793213844299316;0.1415596753358841;1.0;1.0;1.0;41.0;0.0;99.0;Angers SCO - Troyes, 3 - 1
2500097;0.21644999086856842;0.6725680232048035;0.11098197847604752;;0.24849022924900055;0.6464490294456482;0.10506073385477066;1.0;1.0;1.0;41.0;0.0;99.0;Tottenham Hotspur - Leicester City, 5 - 4
2565776;0.15607957541942596;0.026622343808412552;0.8172981142997742;;0.11853040009737015;0.031460490077733994;0.8500090837478638;2.0;2.0;2.0;41.0;0.0;99.0;M\u00e1laga - Atl\u00e9tico Madrid, 0 - 1
2565907;0.2585981786251068;0.5658239126205444;0.17557795345783234;;0.21665379405021667;0.5693919062614441;0.21395426988601685;1.0;1.0;0.0;41.0;0.0;99.0;Barcelona - Real Madrid, 2 - 2
2500932;0.2770083248615265;0.5054968595504761;0.21749478578567505;;0.3057296574115753;0.5019420385360718;0.1923283338546753;1.0;1.0;0.0;41.0;0.0;99.0;Nantes - Lille, 2 - 2
2516965;0.28616130352020264;0.4689555764198303;0.24488312005996704;;0.32109227776527405;0.4471867084503174;0.23172105848789215;1.0;1.0;1.0;41.0;0.0;99.0;Borussia Dortmund - Eintracht Frankfurt, 3 - 2
2516871;0.30426719784736633;0.35029837489128113;0.3454343378543854;;0.2769104242324829;0.3632569909095764;0.3598325550556183;1.0;1.0;0.0;41.0;0.0;99.0;Hamburger SV - Wolfsburg, 0 - 0
2565809;0.28089484572410583;0.4907267093658447;0.22837841510772705;;0.07023651897907257;0.44130587577819824;0.48845767974853516;1.0;2.0;2.0;41.0;0.0;99.0;Villarreal - Girona, 0 - 2
2565669;0.22131340205669403;0.06974215805530548;0.7089444398880005;;0.2073894888162613;0.08376412838697433;0.708846390247345;2.0;2.0;2.0;41.0;0.0;99.0;Levante - Atl\u00e9tico Madrid, 0 - 5
2565693;0.284048467874527;0.47796958684921265;0.23798193037509918;;0.26298651099205017;0.5120862722396851;0.22492718696594238;1.0;1.0;1.0;41.0;0.0;99.0;Deportivo La Coru\u00f1a - Legan\u00e9s, 1 - 0
