HS,AS,HST,AST,HC,AC,HF,AF,B365H,B365D,B365A,tend_ptsH,tend_ptsA,tend_goalsH,tend_goalsA,tend_HS,tend_AS,tend_HST,tend_AST,tend_HC,tend_AC,tend_HF,tend_AF,res,dif_puntos,dif_goles,dif_shots,dif_targets,dif_corners
12,18,7,7,3,8,18,12,10.0,5.25,1.3,5.0,1.0,5.0,3.0,26.0,37.0,11.0,11.0,11.0,14.0,47.0,33.0,-1,-4.0,-2.0,11.0,0.0,3.0
19,9,7,3,5,3,13,19,1.61,3.7,6.25,4.0,1.0,3.0,1.0,38.0,36.0,10.0,13.0,13.0,16.0,31.0,45.0,-1,-3.0,-2.0,-2.0,3.0,3.0
15,5,10,1,4,2,5,10,1.36,5.0,9.0,6.0,1.0,6.0,3.0,42.0,23.0,17.0,8.0,14.0,10.0,41.0,39.0,-1,-5.0,-3.0,-19.0,-9.0,-4.0
16,10,4,4,6,2,16,11,2.5,3.39,2.75,6.0,3.0,7.0,6.0,46.0,46.0,20.0,17.0,12.0,17.0,35.0,33.0,1,-3.0,-1.0,0.0,-3.0,5.0
4,13,3,4,0,8,15,13,2.5,3.29,2.89,4.0,6.0,3.0,4.0,37.0,41.0,6.0,14.0,15.0,13.0,42.0,24.0,-1,2.0,1.0,4.0,8.0,-2.0
16,11,7,7,11,0,14,5,3.5,3.6,2.04,3.0,3.0,2.0,4.0,42.0,24.0,14.0,10.0,15.0,14.0,30.0,38.0,1,0.0,2.0,-18.0,-4.0,-1.0
11,5,4,3,8,2,13,17,2.79,3.1,2.79,4.0,1.0,3.0,2.0,38.0,38.0,13.0,7.0,15.0,12.0,35.0,39.0,1,-3.0,-1.0,0.0,-6.0,-3.0
9,13,5,5,4,5,10,19,2.62,3.39,2.7,5.0,7.0,5.0,5.0,47.0,38.0,13.0,14.0,25.0,15.0,29.0,33.0,0,2.0,0.0,-9.0,1.0,-10.0
10,8,5,2,3,11,13,12,1.39,4.5,9.0,1.0,9.0,3.0,10.0,31.0,59.0,7.0,27.0,14.0,17.0,40.0,28.0,-1,8.0,7.0,28.0,20.0,3.0
11,9,6,3,5,1,8,12,1.44,4.2,8.5,4.0,7.0,6.0,8.0,50.0,50.0,18.0,21.0,20.0,21.0,31.0,36.0,-1,3.0,2.0,0.0,3.0,1.0
14,14,6,4,2,3,21,9,2.45,3.7,2.62,7.0,5.0,9.0,3.0,53.0,42.0,22.0,18.0,20.0,19.0,26.0,28.0,-1,-2.0,-6.0,-11.0,-4.0,-1.0
12,20,6,7,4,4,6,15,1.28,5.75,10.0,2.0,1.0,2.0,2.0,27.0,31.0,6.0,4.0,8.0,9.0,36.0,34.0,-1,-1.0,0.0,4.0,-2.0,1.0
13,10,2,3,6,5,15,11,2.1,3.2,3.89,1.0,5.0,4.0,7.0,39.0,52.0,12.0,20.0,17.0,20.0,32.0,37.0,1,4.0,3.0,13.0,8.0,3.0
11,17,4,5,6,5,8,20,1.66,4.33,4.5,4.0,2.0,4.0,2.0,36.0,33.0,13.0,9.0,15.0,10.0,38.0,34.0,0,-2.0,-2.0,-3.0,-4.0,-5.0
21,8,4,1,9,4,8,28,4.0,3.29,2.0,2.0,0.0,2.0,1.0,40.0,49.0,13.0,12.0,15.0,18.0,45.0,31.0,1,-2.0,-1.0,9.0,-1.0,3.0
9,14,3,6,6,3,9,13,1.39,4.2,10.0,4.0,1.0,4.0,2.0,38.0,40.0,15.0,10.0,17.0,19.0,29.0,40.0,1,-3.0,-2.0,2.0,-5.0,2.0
16,13,4,7,6,7,15,13,2.39,3.2,3.1,4.0,4.0,3.0,6.0,31.0,39.0,12.0,15.0,15.0,11.0,36.0,34.0,1,0.0,3.0,8.0,3.0,-4.0
13,6,5,2,7,3,18,18,2.25,3.39,3.2,9.0,3.0,10.0,6.0,67.0,23.0,30.0,13.0,18.0,11.0,28.0,44.0,-1,-6.0,-4.0,-44.0,-17.0,-7.0
13,11,4,2,4,10,6,11,1.61,4.0,5.5,9.0,6.0,4.0,6.0,30.0,40.0,12.0,16.0,9.0,14.0,22.0,37.0,0,-3.0,2.0,10.0,4.0,5.0
14,6,5,3,4,5,13,12,2.25,3.29,3.29,4.0,7.0,3.0,10.0,19.0,36.0,8.0,12.0,13.0,16.0,44.0,27.0,-1,3.0,7.0,17.0,4.0,3.0
16,15,5,6,6,5,12,13,2.1,3.29,3.75,7.0,7.0,9.0,9.0,30.0,45.0,11.0,25.0,12.0,22.0,32.0,39.0,1,0.0,0.0,15.0,14.0,10.0
16,11,6,1,6,4,17,13,2.1,3.79,3.1,2.0,7.0,2.0,8.0,22.0,52.0,5.0,20.0,8.0,17.0,35.0,31.0,-1,5.0,6.0,30.0,15.0,9.0
