wyId;mins4_H;mins4_A;shots_11H;shots_11A;shots_acc_11H;shots_acc_11A;goals_H;goals_A;goals_ratio_H;goals_ratio_A;passes_11H;passes_11A;passes_acc_11H;passes_acc_11A;keyPasses_H;keyPasses_A;ataque_h;defensa_h;ataque_a;defensa_a;ataquedefensa_H;ataquedefensa_A
2576062;62.56818181818182;66.75;56;42;0.3035714285714285;0.4047619047619047;2;11;0.5;0.7333333333333333;1399;1534;0.862759113652609;0.8741851368970013;5;9;0.56;0.6000000000000001;4.32;1.8400000000000003;1.250574712643678;1.9948412698412696
2499824;61.0;55.20454545454545;39;22;0.2564102564102564;0.3636363636363636;2;2;0.6666666666666666;0.6666666666666666;1656;884;0.8321256038647343;0.7375565610859729;12;3;0.9600000000000002;0.8800000000000001;0.52;1.7200000000000004;0.81793255763844;0.9212121212121211
2565641;0.0;0.0;43;12;0.3023255813953488;0.5;4;3;0.6666666666666666;0.5;1163;1013;0.7867583834909716;0.8420533070088845;14;5;1.28;0.52;2.3200000000000003;2.640000000000001;0.9672043010752688;1.0575757575757576
2576118;51.70454545454545;43.34090909090909;27;3;0.3703703703703703;0.0;2;0;0.5;0.0;874;789;0.8192219679633868;0.8187579214195184;6;3;0.56;1.6;0.4;1.4;0.9126304228445908;0.7474358974358973
2501065;53.77272727272727;53.70454545454545;14;22;0.5714285714285714;0.3181818181818182;4;4;0.8;0.8;745;914;0.7785234899328859;0.8326039387308534;2;4;1.9200000000000004;1.7600000000000002;1.4800000000000002;2.4400000000000004;0.6924791086350974;1.4666666666666668
2576316;53.65909090909091;49.93181818181818;24;30;0.25;0.3;3;3;0.75;0.5;843;1257;0.7497034400948992;0.8297533810660302;5;10;0.7200000000000001;1.12;1.8400000000000003;0.16;0.7691489361702127;1.4188405797101449
2565784;0.0;0.0;25;22;0.36;0.4545454545454545;2;3;0.3333333333333333;0.6;1001;841;0.8281718281718282;0.8049940546967895;3;3;1.3600000000000003;0.8;1.3200000000000005;2.9200000000000004;0.5689907793356068;0.9444444444444444
2565867;0.0;0.0;16;20;0.3125;0.55;1;2;0.5;0.25;857;1374;0.7957992998833139;0.8493449781659389;8;7;0.6000000000000001;0.8800000000000001;2.28;0.52;0.6821705426356589;1.722072072072072
2499909;59.34090909090909;53.38636363636363;26;21;0.3076923076923077;0.5714285714285714;5;2;0.8333333333333334;0.5;1062;1133;0.8145009416195856;0.8296557811120918;2;7;0.8800000000000001;2.4800000000000004;1.6800000000000002;1.36;0.9894557823129252;0.9735458612975392
2576085;63.40909090909091;55.06818181818182;28;27;0.5;0.5185185185185185;5;9;0.3571428571428571;0.6923076923076923;1541;1208;0.8585334198572355;0.8526490066225165;4;5;3.8400000000000007;0.64;3.0800000000000005;0.92;0.9607843137254902;1.9948412698412696
2500022;65.88636363636364;45.20454545454545;37;19;0.1891891891891892;0.4736842105263157;1;2;0.5;0.6666666666666666;1050;1032;0.8266666666666667;0.8546511627906976;6;5;0.28;1.4;0.8800000000000001;1.88;1.0858156028368793;1.3991869918699185
2565863;0.0;0.0;30;18;0.4;0.2222222222222222;5;0;0.8333333333333334;0.0;1041;1179;0.7886647454370798;0.7845631891433418;11;6;1.3600000000000003;0.7600000000000001;0.0;1.5600000000000005;0.8916666666666666;0.7372112917023097
2516947;76.79545454545455;40.75;14;29;0.3571428571428571;0.2758620689655172;2;2;0.3333333333333333;0.6666666666666666;1226;1007;0.8686786296900489;0.788480635551142;8;8;1.6800000000000002;0.6000000000000001;0.4800000000000001;1.88;1.082575062445838;0.95748987854251
2499855;50.45454545454545;56.81818181818182;26;15;0.3846153846153846;0.2;2;0;0.4;0.0;1161;947;0.8268733850129198;0.7888067581837381;5;2;1.4400000000000002;0.64;0.24;1.6000000000000003;1.3166666666666669;0.6958333333333333
2576318;67.04545454545455;57.59090909090909;69;26;0.4057971014492754;0.3076923076923077;5;3;0.5555555555555556;0.6;2019;1148;0.8514115898959881;0.818815331010453;17;4;2.8000000000000003;1.6800000000000002;1.12;1.3200000000000005;1.4860544217687075;1.1411764705882352
2500054;47.40909090909091;51.52272727272727;37;17;0.2972972972972973;0.3529411764705882;6;2;1.0;0.6666666666666666;1310;1338;0.7885496183206107;0.8736920777279522;11;5;1.4800000000000002;0.12;0.7600000000000001;1.9200000000000004;0.8846153846153846;1.3991869918699185
2565883;0.0;0.0;20;28;0.15;0.3928571428571428;0;0;0.0;0.0;1042;829;0.8301343570057581;0.8323281061519904;7;7;0.7200000000000001;1.4;0.64;0.32;0.6821705426356589;1.1404761904761904
2516867;61.65909090909091;61.97727272727273;34;17;0.3235294117647059;0.2941176470588235;0;0;0.0;0.0;1033;1126;0.8005808325266215;0.8348134991119005;4;7;0.12;1.9200000000000004;0.4800000000000001;2.96;0.8724069789859263;0.8435550935550935
2501019;65.29545454545455;49.61363636363637;31;20;0.5483870967741935;0.4;3;6;0.3;0.75;1000;995;0.802;0.8412060301507538;10;5;2.9600000000000004;1.28;1.5600000000000005;4.12;0.9691489361702128;1.4666666666666668
2500951;51.0;55.0;36;22;0.3333333333333333;0.3181818181818182;2;2;0.6666666666666666;1.0;1149;970;0.8085291557876414;0.8360824742268042;6;4;1.08;1.3600000000000003;0.9600000000000002;1.9600000000000009;0.9149546262512864;1.011904761904762
2565760;0.0;0.0;32;20;0.34375;0.35;4;2;0.5714285714285714;0.5;1464;977;0.8415300546448088;0.8014329580348004;4;2;2.120000000000001;0.24;1.1200000000000003;1.64;1.6533882783882785;1.269047619047619
2565654;0.0;0.0;37;19;0.3783783783783784;0.3684210526315789;5;0;0.5;0.0;1262;805;0.8652931854199684;0.8260869565217391;8;3;3.0000000000000004;0.12;0.0;2.36;1.1007895386133728;0.6821705426356589
2499863;49.20454545454545;58.36363636363637;29;18;0.3793103448275862;0.1111111111111111;6;0;0.6666666666666666;0.0;1030;1103;0.7912621359223301;0.8340888485947416;9;5;2.9600000000000004;1.4;0.0;4.080000000000001;0.9833333333333334;0.6894557823129251
2500887;54.88636363636363;58.70454545454545;35;13;0.3714285714285714;0.4615384615384615;3;1;0.75;0.25;969;854;0.8142414860681114;0.8161592505854801;6;5;1.3600000000000003;1.64;1.08;2.8400000000000007;0.8658536585365854;0.6924791086350974
2500858;57.68181818181818;49.31818181818182;40;33;0.4;0.303030303030303;5;3;0.8333333333333334;0.5;1422;1629;0.8713080168776371;0.8655616942909761;6;9;1.16;1.2000000000000002;1.4800000000000002;0.64;1.6666666666666663;1.5147081413210446
2565785;0.0;0.0;35;19;0.4285714285714285;0.3157894736842105;6;2;1.0;1.0;958;801;0.7421711899791231;0.7802746566791511;5;4;1.7200000000000004;0.9600000000000002;0.4;4.720000000000001;1.01140350877193;0.7372112917023097
2565695;0.0;0.0;49;36;0.3673469387755102;0.3055555555555556;5;3;0.4545454545454545;0.75;1224;1197;0.8668300653594772;0.8454469507101086;13;9;2.8800000000000003;0.9600000000000002;1.6800000000000002;2.2;1.722072072072072;0.9444444444444444
2500925;52.95454545454545;59.02272727272727;33;17;0.4545454545454545;0.4705882352941176;2;2;0.6666666666666666;0.6666666666666666;860;851;0.8127906976744186;0.8084606345475911;8;6;0.8400000000000001;0.16;0.6000000000000001;4.16;0.6924791086350974;1.0400153609831029
2516881;54.95454545454545;60.75;20;20;0.25;0.4;2;2;0.3333333333333333;0.3333333333333333;921;1128;0.7839305103148752;0.8430851063829787;1;4;1.24;1.8400000000000003;1.28;1.84;0.8999062255066621;1.082575062445838
2500843;48.90909090909091;58.68181818181818;19;24;0.1578947368421052;0.0;2;0;0.4;0.0;996;934;0.8524096385542169;0.7730192719486081;5;1;1.3200000000000005;2.4400000000000004;0.8400000000000001;2.2;0.973809523809524;0.9149546262512864
2516914;41.75;58.29545454545455;37;20;0.3783783783783784;0.45;6;4;0.75;0.6666666666666666;1257;827;0.807478122513922;0.7920193470374849;5;4;1.6000000000000003;0.9600000000000002;1.12;1.1200000000000003;1.075843799058085;1.0332286760858191
2500019;52.29545454545455;47.59090909090909;39;22;0.3846153846153846;0.2727272727272727;6;1;0.8571428571428571;1.0;1292;859;0.8057275541795665;0.7566938300349243;6;3;1.5200000000000002;2.68;0.12;1.8000000000000005;0.9894557823129252;0.7191489361702128
2576249;58.81818181818182;47.65909090909091;57;15;0.3157894736842105;0.2666666666666666;4;1;1.0;0.5;1282;1030;0.8151326053042122;0.8563106796116505;6;5;0.92;0.9600000000000002;0.32;2.12;1.517948717948718;0.7474358974358973
2499821;76.88636363636364;55.34090909090909;28;21;0.3571428571428571;0.1904761904761904;3;0;1.0;0.0;861;970;0.7537746806039489;0.8051546391752578;7;4;1.1200000000000003;1.6000000000000003;0.36;1.4;0.6894557823129251;0.7191489361702128
2516985;58.11363636363637;58.54545454545455;39;29;0.4358974358974359;0.2758620689655172;3;3;0.4285714285714285;0.6;1598;1098;0.8297872340425532;0.7896174863387978;9;5;2.16;0.64;1.3200000000000005;2.28;1.075843799058085;1.0383699633699632
2565680;0.0;0.0;33;24;0.3636363636363636;0.5;3;4;0.75;1.0;1006;1301;0.831013916500994;0.857033051498847;5;3;0.64;0.4;1.04;1.3200000000000005;1.6533882783882785;1.1404761904761904
2500894;57.54545454545455;55.11363636363637;51;30;0.3529411764705882;0.3;8;1;0.6666666666666666;0.5;1560;921;0.8775641025641026;0.8414766558089034;3;4;2.9600000000000004;0.8400000000000001;0.64;2.3600000000000003;2.0166666666666666;1.0400153609831029
2499999;54.38636363636363;58.04545454545455;53;22;0.2641509433962264;0.3181818181818182;7;0;0.7777777777777778;0.0;1360;1616;0.8132352941176471;0.8762376237623762;10;2;2.8800000000000003;1.6;0.52;1.64;0.7541528239202658;1.3991869918699185
2500924;54.36363636363637;62.95454545454545;19;28;0.4736842105263157;0.3928571428571428;3;3;0.4285714285714285;0.75;687;758;0.7656477438136827;0.7889182058047494;3;4;2.0;1.7200000000000004;0.9600000000000002;0.52;0.8892563198118753;1.0454909397387273
2576086;60.36363636363637;57.34090909090909;22;38;0.2727272727272727;0.2631578947368421;2;3;0.5;0.6;1170;1195;0.8487179487179487;0.8234309623430962;4;8;0.8800000000000001;0.7600000000000001;1.3600000000000003;1.4;0.8666666666666667;1.1285714285714286
2565830;0.0;0.0;29;8;0.5862068965517241;0.375;2;0;0.2222222222222222;0.0;1777;1014;0.8829487900956668;0.7869822485207101;7;5;2.16;0.36;0.24;2.0;1.8269230769230769;0.8916666666666666
2565722;0.0;0.0;31;27;0.2258064516129032;0.5185185185185185;2;4;0.3333333333333333;0.6666666666666666;1204;1115;0.8355481727574751;0.8008968609865471;6;8;1.0;0.8800000000000001;1.28;2.3600000000000003;1.269047619047619;1.0191489361702126
2516921;56.52272727272727;64.3409090909091;40;38;0.3;0.3421052631578947;3;6;0.6;0.5454545454545454;848;1023;0.7617924528301887;0.844574780058651;4;5;1.4400000000000002;0.6000000000000001;3.3200000000000007;1.4400000000000002;0.8435550935550935;1.2462779156327544
2517036;62.88636363636363;57.31818181818182;38;12;0.5263157894736842;0.1666666666666666;14;1;0.6666666666666666;0.1666666666666666;1678;926;0.9100119189511324;0.7624190064794817;8;5;4.800000000000001;0.7200000000000001;1.16;1.12;1.9844322344322345;1.0946776672328724
2576161;52.72727272727273;54.11363636363637;8;20;0.25;0.25;1;0;0.1666666666666666;0.0;953;857;0.8016789087093389;0.7234539089848308;3;3;1.4400000000000002;1.9600000000000009;0.16;2.12;0.661344537815126;0.9061224489795918
2576310;61.22727272727273;42.27272727272727;15;10;0.2666666666666666;0.4;1;3;1.0;0.6;924;860;0.7770562770562771;0.8593023255813953;0;3;0.16;1.6000000000000003;1.28;1.5600000000000005;0.8666666666666667;0.7474358974358973
2565721;0.0;0.0;35;28;0.3428571428571428;0.2857142857142857;4;2;1.0;0.6666666666666666;776;1265;0.7538659793814433;0.8355731225296442;5;3;1.6000000000000003;1.2000000000000002;0.52;0.8800000000000001;0.7625;1.1404761904761904
2565860;0.0;0.0;26;18;0.4230769230769231;0.2777777777777778;7;1;0.7;0.5;1250;783;0.852;0.768837803320562;5;7;2.08;0.0;0.7200000000000001;1.0;1.6533882783882785;0.9029378168058828
2500979;47.15909090909091;57.0;45;31;0.4222222222222222;0.2580645161290322;8;6;0.8;1.0;1642;1678;0.8587088915956151;0.8849821215733016;14;2;1.9200000000000004;1.2000000000000002;1.4;1.8000000000000005;1.5147081413210446;1.6666666666666663
