B365H,B365A,res,tendencia_H,tendencia_A
15.0,1.19,1,0.6,2.0
1.8,4.75,-1,2.0,2.2
2.39,3.0,1,1.0,1.6
1.44,8.0,-1,1.6,0.2
1.25,12.0,-1,2.0,0.8
5.0,1.72,-1,1.8,2.0
3.6,2.1,0,1.0,1.2
1.66,5.25,-1,1.8,1.4
1.22,13.0,-1,1.0,0.6
3.25,2.25,1,1.0,1.4
2.54,3.0,1,1.0,1.4
2.37,3.0,0,1.6,1.4
2.87,2.62,1,0.2,0.6
7.0,1.44,1,1.4,2.0
3.2,2.37,-1,0.6,1.2
1.57,6.0,0,1.2,1.4
1.8,4.2,1,1.4,1.2
5.5,1.57,-1,0.8,1.6
1.25,12.0,-1,2.2,1.6
5.5,1.61,1,1.4,1.6
1.33,9.0,1,2.2,1.8
3.1,2.37,1,1.4,1.0
1.5,5.75,1,2.0,1.4
1.5,7.0,-1,1.0,1.4
1.83,4.5,-1,0.6,1.2
1.36,7.5,0,2.0,1.0
2.04,3.6,0,1.0,0.6
1.5,7.0,-1,1.8,0.2
5.5,1.61,0,1.0,2.6
1.7,5.25,0,2.4,2.6
2.6,2.7,0,1.4,1.8
3.5,2.14,1,0.6,0.8
2.87,2.62,1,1.2,1.2
3.6,2.0,1,1.8,2.0
2.0,4.0,0,1.2,1.8
1.57,6.0,-1,1.0,0.6
1.39,8.0,-1,2.6,1.0
9.0,1.36,0,0.0,1.4
2.45,2.87,0,1.2,1.4
2.0,4.0,1,2.6,2.4
1.22,12.0,-1,2.6,1.0
1.22,12.0,-1,1.4,0.0
1.14,19.0,-1,2.4,1.2
1.64,5.0,0,2.4,1.4
5.0,1.72,0,0.8,3.0
1.75,4.75,0,1.4,1.0
7.5,1.36,1,1.2,2.2
5.0,1.66,1,1.8,2.2
1.9,4.2,-1,1.0,1.0
1.66,5.0,1,1.2,0.0
2.6,2.75,-1,0.6,2.4
2.87,2.6,1,0.6,0.6
1.75,4.75,-1,2.2,1.4
3.39,2.04,1,0.0,0.8
7.0,1.53,-1,2.4,2.4
3.79,1.95,0,0.8,1.8
1.83,4.5,0,1.0,1.0
1.95,3.79,1,1.8,1.2
3.1,2.45,1,1.4,0.8
1.44,7.0,-1,2.2,1.4
2.1,3.39,-1,2.4,3.0
3.75,2.04,1,0.8,0.8
1.3,10.0,0,1.4,0.8
1.9,4.5,-1,0.6,0.8
7.5,1.39,0,1.4,2.6
3.0,2.29,1,1.8,2.4
1.06,34.0,-1,2.0,0.0
1.5,6.5,0,2.6,1.0
3.0,2.54,1,0.8,1.8
1.8,4.75,1,1.2,1.0
7.5,1.39,1,0.8,2.6
1.6,5.25,-1,0.4,0.6
5.5,1.64,-1,1.0,2.0
1.14,15.0,-1,2.6,0.8
1.83,4.5,-1,1.8,2.0
3.1,2.5,-1,0.2,0.8
3.6,2.1,-1,1.2,1.6
11.0,1.28,1,0.0,3.0
1.28,10.0,-1,2.4,1.8
4.2,1.9,1,0.8,2.0
5.25,1.7,1,2.0,2.4
1.44,7.5,-1,0.0,0.0
3.6,2.14,1,2.2,0.8
1.85,4.0,-1,1.4,1.0
9.0,1.33,1,1.0,2.6
1.12,21.0,-1,2.0,0.2
1.16,15.0,-1,2.4,1.0
2.0,3.75,1,1.4,0.6
1.36,8.5,-1,1.6,1.0
1.44,7.0,-1,2.2,2.0
1.28,9.0,-1,2.4,0.6
7.5,1.44,1,0.6,2.0
1.6,6.5,-1,1.2,2.0
6.0,1.57,1,0.0,1.4
1.44,8.0,0,1.2,0.8
2.6,2.75,1,0.2,0.8
3.75,1.95,1,1.2,2.4
1.9,4.33,-1,1.8,1.0
