ptsH,ptsA,goalsH,goalsA,HS,AS,HST,AST,HC,AC,HF,AF,res
17.0,10.0,10.0,9.0,155.0,101.0,44.0,41.0,48.0,52.0,141.0,166.0,1
9.0,16.0,8.0,20.0,140.0,138.0,47.0,49.0,71.0,37.0,137.0,151.0,0
13.0,22.0,16.0,17.0,139.0,154.0,53.0,55.0,43.0,57.0,103.0,117.0,1
13.0,4.0,15.0,11.0,94.0,105.0,42.0,41.0,39.0,45.0,129.0,150.0,-1
10.0,11.0,9.0,8.0,150.0,73.0,47.0,27.0,48.0,26.0,132.0,137.0,0
19.0,11.0,10.0,15.0,126.0,124.0,40.0,50.0,53.0,29.0,127.0,120.0,1
28.0,15.0,32.0,15.0,213.0,122.0,86.0,48.0,76.0,53.0,90.0,157.0,1
15.0,5.0,25.0,8.0,159.0,99.0,56.0,30.0,50.0,52.0,106.0,158.0,0
18.0,4.0,16.0,9.0,125.0,112.0,46.0,45.0,32.0,49.0,140.0,149.0,-1
12.0,5.0,12.0,6.0,129.0,98.0,46.0,20.0,56.0,49.0,149.0,137.0,0
19.0,11.0,20.0,11.0,156.0,81.0,56.0,37.0,69.0,24.0,120.0,142.0,-1
18.0,7.0,18.0,12.0,150.0,88.0,43.0,39.0,50.0,32.0,146.0,118.0,-1
21.0,12.0,21.0,13.0,166.0,124.0,62.0,37.0,45.0,40.0,122.0,138.0,-1
11.0,9.0,8.0,10.0,135.0,117.0,49.0,40.0,66.0,32.0,141.0,140.0,-1
16.0,21.0,16.0,14.0,154.0,104.0,55.0,42.0,75.0,42.0,119.0,184.0,1
20.0,11.0,15.0,11.0,146.0,127.0,46.0,43.0,70.0,54.0,107.0,138.0,1
15.0,9.0,16.0,15.0,98.0,126.0,42.0,47.0,44.0,54.0,134.0,167.0,-1
17.0,15.0,10.0,21.0,151.0,142.0,40.0,50.0,49.0,38.0,130.0,157.0,1
19.0,7.0,17.0,7.0,124.0,100.0,51.0,36.0,41.0,54.0,164.0,165.0,1
16.0,22.0,15.0,17.0,139.0,160.0,47.0,57.0,45.0,60.0,146.0,112.0,-1
12.0,1.0,15.0,6.0,133.0,100.0,48.0,33.0,43.0,36.0,98.0,140.0,1
8.0,16.0,9.0,17.0,145.0,149.0,52.0,54.0,50.0,49.0,143.0,119.0,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,1
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,0
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,1
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,1
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,1
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,0
,,,,,,,,,,,,-1
,,,,,,,,,,,,0
,,,,,,,,,,,,1
,,,,,,,,,,,,1
,,,,,,,,,,,,1
,,,,,,,,,,,,1
,,,,,,,,,,,,-1
,,,,,,,,,,,,1
,,,,,,,,,,,,0
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,1
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,1
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,0
,,,,,,,,,,,,1
,,,,,,,,,,,,1
,,,,,,,,,,,,0
,,,,,,,,,,,,1
,,,,,,,,,,,,1
,,,,,,,,,,,,0
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,0
,,,,,,,,,,,,1
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,1
,,,,,,,,,,,,-1
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,1
,,,,,,,,,,,,1
,,,,,,,,,,,,1
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,1
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,1
,,,,,,,,,,,,0
,,,,,,,,,,,,1
,,,,,,,,,,,,-1
,,,,,,,,,,,,1
,,,,,,,,,,,,0
,,,,,,,,,,,,-1
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,1
,,,,,,,,,,,,-1
,,,,,,,,,,,,1
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,0
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,1
,,,,,,,,,,,,1
,,,,,,,,,,,,0
,,,,,,,,,,,,1
,,,,,,,,,,,,1
,,,,,,,,,,,,-1
,,,,,,,,,,,,0
,,,,,,,,,,,,1
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,1
,,,,,,,,,,,,1
,,,,,,,,,,,,1
,,,,,,,,,,,,1
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,-1
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,1
,,,,,,,,,,,,1
,,,,,,,,,,,,1
,,,,,,,,,,,,0
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,1
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,1
,,,,,,,,,,,,1
,,,,,,,,,,,,-1
,,,,,,,,,,,,1
,,,,,,,,,,,,-1
,,,,,,,,,,,,1
,,,,,,,,,,,,-1
,,,,,,,,,,,,1
,,,,,,,,,,,,-1
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,1
,,,,,,,,,,,,1
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,1
,,,,,,,,,,,,0
,,,,,,,,,,,,-1
,,,,,,,,,,,,0
,,,,,,,,,,,,1
,,,,,,,,,,,,-1
,,,,,,,,,,,,0
,,,,,,,,,,,,1
,,,,,,,,,,,,1
,,,,,,,,,,,,1
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,1
,,,,,,,,,,,,-1
,,,,,,,,,,,,1
,,,,,,,,,,,,1
,,,,,,,,,,,,-1
,,,,,,,,,,,,1
,,,,,,,,,,,,-1
,,,,,,,,,,,,1
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,1
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,1
,,,,,,,,,,,,-1
,,,,,,,,,,,,1
,,,,,,,,,,,,0
,,,,,,,,,,,,1
,,,,,,,,,,,,1
,,,,,,,,,,,,-1
,,,,,,,,,,,,0
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,-1
,,,,,,,,,,,,1
,,,,,,,,,,,,0
12.0,7.0,9.0,11.0,102.0,112.0,33.0,43.0,48.0,59.0,76.0,92.0,-1
14.0,8.0,17.0,6.0,129.0,98.0,42.0,32.0,46.0,46.0,118.0,107.0,0
9.0,5.0,8.0,10.0,110.0,131.0,27.0,44.0,53.0,49.0,99.0,92.0,-1
24.0,4.0,27.0,5.0,166.0,98.0,64.0,28.0,62.0,37.0,88.0,117.0,1
23.0,1.0,16.0,2.0,140.0,93.0,46.0,28.0,57.0,45.0,103.0,101.0,1
15.0,17.0,9.0,17.0,119.0,138.0,33.0,52.0,33.0,40.0,108.0,87.0,0
8.0,23.0,10.0,24.0,116.0,171.0,46.0,59.0,62.0,76.0,103.0,86.0,1
14.0,5.0,11.0,4.0,96.0,96.0,37.0,39.0,44.0,24.0,95.0,142.0,1
25.0,10.0,21.0,15.0,179.0,99.0,65.0,38.0,62.0,45.0,95.0,99.0,-1
13.0,11.0,13.0,9.0,117.0,91.0,40.0,33.0,49.0,40.0,105.0,112.0,-1
13.0,19.0,13.0,15.0,114.0,130.0,38.0,45.0,49.0,54.0,102.0,93.0,0
25.0,4.0,30.0,4.0,177.0,99.0,76.0,27.0,81.0,35.0,94.0,120.0,0
25.0,11.0,25.0,11.0,188.0,100.0,69.0,37.0,68.0,39.0,97.0,105.0,-1
11.0,6.0,11.0,10.0,129.0,128.0,39.0,43.0,73.0,48.0,104.0,90.0,1
20.0,9.0,16.0,8.0,204.0,83.0,73.0,34.0,80.0,24.0,82.0,105.0,-1
17.0,8.0,12.0,11.0,103.0,107.0,37.0,41.0,43.0,59.0,96.0,120.0,0
23.0,14.0,28.0,11.0,157.0,98.0,70.0,36.0,65.0,32.0,101.0,108.0,1
20.0,18.0,18.0,19.0,215.0,154.0,78.0,50.0,88.0,59.0,78.0,94.0,1
27.0,8.0,32.0,8.0,186.0,83.0,82.0,34.0,81.0,28.0,90.0,110.0,-1
18.0,7.0,13.0,10.0,92.0,102.0,27.0,38.0,46.0,59.0,111.0,124.0,1
15.0,7.0,16.0,7.0,161.0,60.0,52.0,22.0,59.0,31.0,92.0,92.0,-1
14.0,9.0,12.0,17.0,132.0,76.0,40.0,36.0,75.0,41.0,99.0,97.0,-1
15.0,11.0,15.0,11.0,142.0,99.0,43.0,38.0,60.0,38.0,127.0,107.0,-1
7.0,21.0,12.0,20.0,119.0,136.0,35.0,52.0,61.0,56.0,118.0,99.0,1
9.0,13.0,9.0,14.0,104.0,116.0,33.0,42.0,43.0,50.0,120.0,116.0,-1
16.0,22.0,14.0,18.0,137.0,122.0,42.0,46.0,51.0,49.0,117.0,100.0,-1
23.0,1.0,24.0,2.0,199.0,91.0,71.0,25.0,72.0,50.0,96.0,103.0,1
20.0,9.0,15.0,10.0,131.0,137.0,48.0,42.0,50.0,53.0,107.0,97.0,0
16.0,23.0,13.0,22.0,115.0,166.0,39.0,59.0,53.0,77.0,107.0,85.0,0
18.0,14.0,12.0,16.0,103.0,146.0,35.0,51.0,46.0,41.0,101.0,88.0,-1
14.0,3.0,10.0,4.0,100.0,98.0,34.0,28.0,48.0,31.0,81.0,112.0,1
12.0,13.0,14.0,18.0,138.0,106.0,41.0,42.0,44.0,48.0,121.0,99.0,-1
12.0,9.0,10.0,8.0,120.0,87.0,31.0,30.0,57.0,38.0,96.0,115.0,1
15.0,5.0,11.0,5.0,112.0,96.0,35.0,31.0,34.0,48.0,110.0,112.0,1
8.0,8.0,12.0,12.0,119.0,109.0,45.0,41.0,64.0,54.0,97.0,95.0,0
24.0,4.0,28.0,5.0,169.0,95.0,65.0,41.0,65.0,28.0,89.0,137.0,1
18.0,12.0,14.0,13.0,89.0,104.0,30.0,40.0,44.0,38.0,113.0,108.0,0
27.0,7.0,29.0,8.0,193.0,66.0,82.0,24.0,82.0,36.0,96.0,94.0,-1
20.0,9.0,25.0,16.0,170.0,72.0,77.0,35.0,69.0,41.0,101.0,94.0,-1
11.0,13.0,10.0,10.0,106.0,96.0,33.0,33.0,42.0,31.0,117.0,114.0,1
15.0,13.0,16.0,14.0,134.0,120.0,41.0,43.0,63.0,54.0,126.0,113.0,0
7.0,20.0,10.0,22.0,126.0,157.0,35.0,53.0,57.0,57.0,117.0,96.0,1
14.0,12.0,9.0,15.0,103.0,141.0,34.0,49.0,50.0,47.0,80.0,84.0,-1
16.0,7.0,14.0,11.0,128.0,111.0,41.0,40.0,68.0,60.0,96.0,126.0,-1
16.0,22.0,17.0,20.0,164.0,124.0,55.0,49.0,56.0,49.0,89.0,102.0,1
15.0,21.0,14.0,20.0,135.0,128.0,39.0,48.0,50.0,54.0,119.0,102.0,1
16.0,3.0,13.0,5.0,105.0,93.0,37.0,37.0,48.0,29.0,101.0,121.0,1
23.0,3.0,16.0,5.0,132.0,91.0,48.0,29.0,51.0,44.0,108.0,112.0,-1
12.0,9.0,9.0,10.0,116.0,128.0,33.0,42.0,38.0,53.0,107.0,103.0,-1
26.0,23.0,24.0,21.0,203.0,163.0,70.0,58.0,77.0,77.0,91.0,83.0,-1
22.0,9.0,26.0,12.0,165.0,112.0,62.0,45.0,65.0,54.0,90.0,92.0,1
14.0,14.0,9.0,18.0,111.0,98.0,38.0,38.0,54.0,45.0,83.0,101.0,-1
12.0,6.0,13.0,3.0,133.0,91.0,38.0,27.0,44.0,32.0,118.0,108.0,-1
9.0,4.0,10.0,5.0,115.0,99.0,30.0,27.0,51.0,47.0,97.0,108.0,-1
17.0,8.0,11.0,8.0,98.0,80.0,30.0,29.0,48.0,37.0,104.0,117.0,1
8.0,12.0,10.0,16.0,122.0,135.0,41.0,51.0,69.0,44.0,88.0,82.0,0
22.0,8.0,18.0,15.0,213.0,77.0,82.0,39.0,93.0,36.0,81.0,93.0,1
20.0,7.0,27.0,10.0,178.0,103.0,77.0,34.0,68.0,59.0,100.0,130.0,-1
30.0,19.0,30.0,17.0,182.0,129.0,81.0,47.0,79.0,52.0,94.0,113.0,-1
15.0,13.0,16.0,12.0,154.0,117.0,52.0,41.0,49.0,56.0,90.0,112.0,-1
15.0,7.0,13.0,7.0,132.0,76.0,39.0,31.0,55.0,27.0,119.0,115.0,-1
16.0,9.0,13.0,12.0,122.0,108.0,40.0,41.0,62.0,37.0,97.0,103.0,1
