wyId;mins4_H;mins4_A;shots_11H;shots_11A;shots_acc_11H;shots_acc_11A;goals_H;goals_A;goals_ratio_H;goals_ratio_A;passes_11H;passes_11A;passes_acc_11H;passes_acc_11A;keyPasses_H;keyPasses_A;ataque_h;defensa_h;ataque_a;defensa_a;ataquedefensa_H;ataquedefensa_A
2576200;37.18181818181818;51.77272727272727;35;19;0.2571428571428571;0.2105263157894736;3;1;0.6;0.25;717;872;0.8284518828451883;0.7901376146788991;6;4;1.0;1.6800000000000002;1.2000000000000002;1.12;0.7474358974358973;0.9061224489795918
2576201;37.72727272727273;68.72727272727273;34;42;0.3529411764705882;0.3333333333333333;3;1;0.6;0.25;939;1352;0.853035143769968;0.8143491124260355;8;13;1.0;0.92;1.3600000000000003;1.2000000000000002;1.3102564102564105;1.1285714285714286
2576202;61.34090909090909;55.84090909090909;52;14;0.3461538461538461;0.3571428571428571;7;3;0.5384615384615384;0.75;1526;727;0.8453473132372215;0.7414030261348006;11;2;2.48;1.1200000000000003;0.9600000000000002;2.0;1.517948717948718;0.661344537815126
2576203;50.0;53.36363636363637;25;22;0.32;0.4545454545454545;2;0;0.6666666666666666;0.0;953;1392;0.7880377754459601;0.8635057471264368;4;6;0.52;0.7200000000000001;0.7200000000000001;0.8800000000000001;0.9166666666666666;1.4233841181902125
2576204;67.79545454545455;46.59090909090909;34;30;0.3235294117647059;0.3333333333333333;6;3;0.75;0.375;1469;1166;0.8481960517358748;0.8773584905660378;9;8;2.16;0.0;1.9600000000000009;0.12;1.1411764705882352;1.9948412698412696
2576205;50.22727272727273;63.5;22;41;0.3636363636363636;0.2682926829268293;5;3;0.625;1.0;1087;1283;0.84360625574977;0.828526890101325;3;8;1.6;0.7200000000000001;0.8800000000000001;0.52;0.9126304228445908;1.4188405797101449
2576206;61.65909090909091;68.22727272727273;49;30;0.4285714285714285;0.5;5;3;1.0;0.4285714285714285;1465;1226;0.8607508532423208;0.8213703099510603;3;7;1.4400000000000002;0.92;1.5200000000000002;1.4400000000000002;1.250574712643678;0.9607843137254902
2576207;39.88636363636363;72.45454545454545;12;28;0.4166666666666667;0.2142857142857142;3;1;0.6;0.5;767;1134;0.8565840938722294;0.7530864197530864;3;8;1.3600000000000003;1.64;0.28;3.76;0.8742424242424243;0.7575757575757576
2576208;76.72727272727273;56.59090909090909;59;28;0.4406779661016949;0.2857142857142857;9;0;0.75;0.0;2468;1111;0.8703403565640194;0.7974797479747975;18;5;3.3200000000000007;0.9600000000000002;0.4800000000000001;1.64;1.4860544217687075;0.8666666666666667
2576209;48.88636363636363;49.29545454545455;43;32;0.3720930232558139;0.40625;7;4;0.6363636363636364;0.5714285714285714;1229;1007;0.8665581773799838;0.8093346573982125;6;3;2.9200000000000004;0.0;1.4400000000000002;0.36;1.9948412698412696;1.3102564102564105
2576210;56.56818181818182;35.02272727272727;35;12;0.4;0.3333333333333333;3;2;0.75;1.0;1276;676;0.8299373040752351;0.8505917159763313;10;3;1.3600000000000003;0.8800000000000001;0.9600000000000002;3.7200000000000006;1.4233841181902125;0.7474358974358973
2576211;58.27272727272727;47.45454545454545;43;19;0.2093023255813953;0.3157894736842105;2;1;0.6666666666666666;1.0;1315;1047;0.8570342205323194;0.8328557784145176;12;1;0.52;2.2;0.24;1.9600000000000009;1.1285714285714286;0.7098595848595849
2576212;50.38636363636363;57.88636363636363;19;21;0.4736842105263157;0.3809523809523809;3;3;0.4285714285714285;1.0;1050;1020;0.8514285714285714;0.7745098039215687;8;0;1.8000000000000005;1.2000000000000002;0.9600000000000002;0.4;0.8742424242424243;0.9166666666666666
2576213;54.79545454545455;48.81818181818182;24;25;0.25;0.44;1;5;0.5;0.7142857142857143;945;1020;0.7777777777777778;0.8509803921568627;13;10;0.28;0.8800000000000001;1.5200000000000002;2.7200000000000006;0.7575757575757576;1.517948717948718
2576214;52.34090909090909;73.75;39;41;0.358974358974359;0.3658536585365853;4;6;0.5714285714285714;0.75;1363;1570;0.8239178283198826;0.8496815286624204;15;8;2.68;1.64;2.6000000000000005;0.52;1.4188405797101449;1.250574712643678
2576215;54.52272727272727;79.18181818181819;18;50;0.2222222222222222;0.3;1;6;0.3333333333333333;0.8571428571428571;738;2378;0.7710027100271003;0.8566021867115223;6;14;1.2000000000000002;0.7600000000000001;1.7200000000000004;0.12;0.7691489361702127;1.4860544217687075
2576216;62.06818181818182;54.34090909090909;24;23;0.375;0.3043478260869565;2;0;0.6666666666666666;0.0;984;861;0.7459349593495935;0.794425087108014;5;2;0.8400000000000001;0.8800000000000001;0.16;1.3600000000000003;0.9061224489795918;0.8666666666666667
2576217;51.38636363636363;59.97727272727273;15;44;0.2;0.3863636363636363;2;5;0.5;0.7142857142857143;832;1011;0.7548076923076923;0.8298714144411474;3;4;0.52;1.6800000000000002;1.4;1.16;0.661344537815126;1.1411764705882352
2576218;70.81818181818181;53.04545454545455;35;23;0.4;0.217391304347826;4;0;0.5714285714285714;0.0;1470;1136;0.8360544217687075;0.8177816901408451;7;4;1.7200000000000004;0.52;0.36;1.5600000000000005;0.9607843137254902;0.9126304228445908
2576219;63.93181818181818;58.97727272727273;28;21;0.25;0.4285714285714285;2;3;0.4;0.6;1060;1182;0.8179245283018868;0.8282571912013537;5;9;0.8;3.2;1.08;2.4000000000000004;0.8666666666666667;0.8742424242424243
2576220;42.36363636363637;51.84090909090909;21;16;0.0952380952380952;0.375;0;2;0.0;0.5;690;908;0.7898550724637681;0.7698237885462555;3;3;0.8;0.8400000000000001;1.3200000000000005;1.08;0.9166666666666666;0.7691489361702127
2576221;54.75;44.72727272727273;23;19;0.4782608695652174;0.2631578947368421;3;2;0.5;0.3333333333333333;995;737;0.8251256281407036;0.8113975576662144;8;2;1.16;1.2000000000000002;1.0;1.8400000000000003;1.1411764705882352;0.9061224489795918
2576222;56.45454545454545;57.59090909090909;16;27;0.375;0.2222222222222222;1;2;0.3333333333333333;0.3333333333333333;1238;1083;0.8061389337641357;0.8190212373037857;1;5;0.7600000000000001;1.7200000000000004;1.64;1.24;0.9126304228445908;1.1285714285714286
2576223;40.15909090909091;48.5;27;9;0.3333333333333333;0.3333333333333333;4;2;0.5714285714285714;0.5;979;728;0.8467824310520939;0.7788461538461539;4;1;1.5600000000000005;2.0;0.4800000000000001;2.3600000000000003;0.7474358974358973;0.661344537815126
2576224;71.9090909090909;61.40909090909091;62;36;0.3709677419354839;0.5;6;5;0.8571428571428571;0.7142857142857143;1749;1586;0.873642081189251;0.8587641866330391;10;9;2.120000000000001;1.1200000000000003;2.68;0.7600000000000001;1.250574712643678;1.4233841181902125
2576225;60.0;42.18181818181818;62;12;0.3064516129032258;0.4166666666666667;6;1;0.5454545454545454;0.1666666666666666;1601;1238;0.84946908182386;0.8861066235864298;9;3;2.28;0.6000000000000001;1.4;0.0;1.517948717948718;1.9948412698412696
2576226;77.56818181818181;67.81818181818181;61;43;0.3442622950819672;0.3488372093023256;7;4;0.7;0.8;2559;1443;0.8862837045720985;0.8163548163548163;14;4;2.16;0.4;1.4800000000000002;0.28;1.4860544217687075;1.4188405797101449
2576227;58.93181818181818;49.25;49;22;0.3061224489795918;0.5;4;2;1.0;0.6666666666666666;1549;869;0.8476436410587476;0.8020713463751439;6;5;1.3600000000000003;0.36;0.8400000000000001;2.08;1.3102564102564105;0.9607843137254902
2576228;60.06818181818182;59.02272727272727;16;13;0.5;0.2307692307692307;3;1;0.75;0.3333333333333333;1089;987;0.8154269972451791;0.7993920972644377;3;8;1.4400000000000002;1.12;1.2000000000000002;2.2;0.7098595848595849;0.7575757575757576
2576229;51.65909090909091;62.84090909090909;15;28;0.5333333333333333;0.4642857142857143;2;6;0.25;0.75;1009;1289;0.8344895936570862;0.8254460822342902;3;4;1.9600000000000009;0.56;1.7600000000000002;0.64;0.8742424242424243;1.3102564102564105
2576230;64.3409090909091;46.68181818181818;54;17;0.1851851851851851;0.2941176470588235;2;2;0.6666666666666666;1.0;1301;840;0.8455034588777863;0.8571428571428571;9;4;0.7600000000000001;1.24;0.4800000000000001;3.0000000000000004;1.1285714285714286;0.7474358974358973
2576231;56.93181818181818;53.88636363636363;15;13;0.2;0.3076923076923077;0;0;0.0;0.0;934;1230;0.7751605995717344;0.7910569105691057;2;2;1.08;1.5600000000000005;0.16;1.64;0.661344537815126;0.7098595848595849
2576232;57.86363636363637;53.43181818181818;21;19;0.2857142857142857;0.4210526315789473;1;6;0.3333333333333333;0.6;866;1242;0.7782909930715936;0.8687600644122383;8;4;0.64;2.8400000000000007;2.440000000000001;1.5200000000000002;0.7691489361702127;1.517948717948718
2576233;56.45454545454545;71.3409090909091;26;41;0.2307692307692307;0.4146341463414634;2;4;0.5;0.4444444444444444;1039;1512;0.7921077959576516;0.8551587301587301;2;10;1.2400000000000002;0.24;2.3200000000000003;0.28;0.9166666666666666;1.250574712643678
2576234;54.95454545454545;79.0909090909091;30;55;0.3333333333333333;0.3454545454545454;1;7;0.1666666666666666;0.7777777777777778;1359;2435;0.8506254598969831;0.8562628336755647;9;12;1.7200000000000004;0.52;3.16;0.0;1.4233841181902125;1.4860544217687075
2576235;66.5909090909091;65.20454545454545;36;27;0.3333333333333333;0.3333333333333333;1;1;0.25;0.2;1259;1243;0.7752184273232724;0.8471440064360418;6;6;1.3600000000000003;1.9600000000000009;0.8;1.3200000000000005;0.9061224489795918;0.9607843137254902
2576236;67.04545454545455;65.38636363636364;24;29;0.125;0.3793103448275862;0;2;0.0;0.5;1271;1132;0.8056648308418568;0.8030035335689046;6;3;0.12;2.0400000000000005;1.5600000000000005;1.64;0.7575757575757576;0.8666666666666667
2576237;54.34090909090909;59.29545454545455;41;33;0.2439024390243902;0.2121212121212121;2;3;0.3333333333333333;0.6;1395;987;0.8236559139784946;0.8044579533941236;14;5;1.3200000000000005;1.8400000000000003;1.12;1.6000000000000003;1.4188405797101449;1.1411764705882352
2576238;39.13636363636363;54.72727272727273;31;26;0.4516129032258064;0.2307692307692307;6;1;0.6666666666666666;0.5;929;1065;0.8632938643702907;0.7924882629107981;3;5;3.76;0.0;0.64;1.8000000000000005;1.9948412698412696;0.9126304228445908
2576239;70.56818181818181;61.88636363636363;23;40;0.217391304347826;0.35;1;4;0.3333333333333333;0.8;1157;1487;0.7718236819360415;0.8466711499663753;3;9;0.9600000000000002;0.7600000000000001;0.7600000000000001;1.1200000000000003;0.661344537815126;1.3102564102564105
2576240;55.79545454545455;54.54545454545455;50;16;0.36;0.5;5;2;0.8333333333333334;1.0;1165;1006;0.8266094420600858;0.7962226640159046;3;7;1.0;0.8;0.4;1.8000000000000005;1.517948717948718;0.8742424242424243
2576241;44.93181818181818;51.15909090909091;41;12;0.3414634146341463;0.5;5;3;0.7142857142857143;0.75;896;847;0.8470982142857143;0.768595041322314;4;4;2.0400000000000005;1.7600000000000002;0.8800000000000001;1.2400000000000002;0.7474358974358973;0.7691489361702127
2576242;62.29545454545455;49.93181818181818;57;15;0.3684210526315789;0.2;4;0;1.0;0.0;1437;1046;0.860125260960334;0.8040152963671128;6;1;1.1200000000000003;0.4800000000000001;0.12;1.48;1.250574712643678;0.7098595848595849
2576243;55.20454545454545;65.47727272727273;27;45;0.4444444444444444;0.2666666666666666;5;2;0.625;0.4;1011;1232;0.8397626112759644;0.8198051948051948;7;11;1.3200000000000005;0.4800000000000001;1.2400000000000002;1.2000000000000002;1.1411764705882352;1.1285714285714286
2576244;77.61363636363636;62.18181818181818;64;28;0.421875;0.3214285714285714;7;3;0.7;1.0;2680;1286;0.8847014925373134;0.7954898911353032;13;2;2.2;2.2;0.56;1.2400000000000002;1.4860544217687075;0.9166666666666666
2576245;67.75;58.40909090909091;30;36;0.3333333333333333;0.3888888888888889;3;1;0.5;0.5;1465;1479;0.8491467576791809;0.8390804597701149;9;9;1.7200000000000004;0.7600000000000001;0.4;1.4800000000000002;0.9607843137254902;1.4233841181902125
2576246;62.84090909090909;46.0;29;23;0.2413793103448276;0.3478260869565217;3;4;0.75;0.6666666666666666;1106;1218;0.8273056057866185;0.8817733990147784;9;6;0.8800000000000001;1.7200000000000004;1.28;0.0;0.8666666666666667;1.9948412698412696
2576247;72.77272727272727;50.52272727272727;43;37;0.3953488372093023;0.3243243243243243;4;3;0.5;0.375;1346;926;0.7860326894502229;0.8077753779697624;8;7;2.68;1.4800000000000002;2.68;1.08;0.9061224489795918;1.4188405797101449
2576248;55.95454545454545;48.06818181818182;30;24;0.3;0.3333333333333333;2;2;0.3333333333333333;1.0;1131;705;0.8063660477453581;0.7673758865248227;7;7;0.8800000000000001;1.3600000000000003;0.6000000000000001;2.9200000000000004;0.9126304228445908;0.7575757575757576
2576249;58.81818181818182;47.65909090909091;57;15;0.3157894736842105;0.2666666666666666;4;1;1.0;0.5;1282;1030;0.8151326053042122;0.8563106796116505;6;5;0.92;0.9600000000000002;0.32;2.12;1.517948717948718;0.7474358974358973
2576250;49.59090909090909;68.29545454545455;34;36;0.2941176470588235;0.25;1;4;0.3333333333333333;0.6666666666666666;830;1100;0.8144578313253013;0.7663636363636364;4;4;0.8400000000000001;0.8;1.6800000000000002;1.8000000000000005;1.1285714285714286;0.9061224489795918
2576251;61.18181818181818;55.77272727272727;24;7;0.2083333333333333;0.2857142857142857;1;2;0.2;0.5;1453;774;0.8534067446662078;0.751937984496124;6;1;0.92;0.28;0.64;1.8400000000000003;1.4233841181902125;0.661344537815126
2576252;47.65909090909091;73.75;37;38;0.4054054054054054;0.4210526315789473;9;4;0.75;0.5;1353;1816;0.8950480413895048;0.8678414096916299;3;10;2.68;0.0;1.7200000000000002;0.12;1.9948412698412696;1.250574712643678
2576253;62.11363636363637;80.4090909090909;27;41;0.037037037037037;0.2682926829268293;0;4;0.0;0.5;1148;2478;0.7952961672473867;0.8656174334140436;7;17;0.4800000000000001;1.5600000000000005;1.64;0.0;0.7575757575757576;1.4860544217687075
2576254;45.68181818181818;58.38636363636363;18;32;0.2222222222222222;0.34375;1;4;0.2;0.4444444444444444;999;1288;0.8248248248248248;0.8307453416149069;5;8;0.92;0.8800000000000001;2.3600000000000003;0.4800000000000001;0.8742424242424243;1.4188405797101449
2576255;49.81818181818182;55.79545454545455;12;34;0.5;0.3823529411764705;2;3;0.6666666666666666;0.75;1063;1011;0.8231420507996237;0.80811078140455;2;2;1.08;1.16;0.8800000000000001;2.5200000000000005;0.7098595848595849;0.9607843137254902
2576256;65.18181818181819;63.84090909090909;28;18;0.1785714285714285;0.4444444444444444;1;3;0.3333333333333333;0.75;1124;1121;0.7980427046263345;0.8269402319357716;5;1;0.6000000000000001;0.64;1.2000000000000002;1.3600000000000003;0.9166666666666666;0.8666666666666667
2576257;61.34090909090909;68.27272727272727;16;25;0.4375;0.24;3;1;0.6;0.3333333333333333;976;1063;0.7797131147540983;0.7902163687676388;3;6;1.4;2.4000000000000004;0.52;2.2;0.7691489361702127;1.1411764705882352
2576258;51.63636363636363;42.43181818181818;36;16;0.2777777777777778;0.0625;2;0;0.6666666666666666;0.0;1354;807;0.8353028064992615;0.7955390334572491;7;3;0.8400000000000001;0.8800000000000001;0.36;1.7600000000000002;1.3102564102564105;0.9126304228445908
2576259;67.36363636363636;55.04545454545455;27;38;0.1481481481481481;0.2631578947368421;2;4;1.0;0.5714285714285714;1150;1310;0.8165217391304348;0.8664122137404581;6;7;0.36;0.7600000000000001;2.68;0.6000000000000001;0.8666666666666667;1.3102564102564105
2576260;66.45454545454545;55.75;31;22;0.3870967741935484;0.4545454545454545;4;3;0.5714285714285714;1.0;1055;1077;0.7563981042654029;0.807799442896936;3;10;1.4;1.8000000000000005;0.7600000000000001;1.4;0.9061224489795918;0.8742424242424243
2576261;41.0;58.68181818181818;5;18;0.0;0.4444444444444444;0;2;0.0;0.5;642;1024;0.7694704049844237;0.77734375;1;5;0.56;2.68;1.1200000000000003;1.5200000000000002;0.661344537815126;0.7691489361702127
2576262;66.70454545454545;44.63636363636363;64;14;0.390625;0.2142857142857142;6;1;0.75;0.5;2129;674;0.8750587130108032;0.8086053412462908;8;2;1.6000000000000003;1.08;0.9600000000000002;1.9600000000000009;1.4860544217687075;0.7098595848595849
2576263;49.97727272727273;50.54545454545455;28;26;0.3214285714285714;0.2692307692307692;3;2;0.375;0.2857142857142857;1146;963;0.8647469458987783;0.8234683281412254;4;2;2.24;0.92;1.8400000000000003;0.52;1.4188405797101449;1.1285714285714286
2576264;69.97727272727273;67.75;38;27;0.3157894736842105;0.2962962962962963;2;3;0.4;1.0;1464;1386;0.8579234972677595;0.7943722943722944;7;3;0.92;2.76;0.4;1.08;0.9607843137254902;0.9166666666666666
2576265;60.86363636363637;71.0909090909091;27;37;0.6296296296296297;0.4054054054054054;7;4;1.0;0.6666666666666666;1208;1935;0.8336092715231788;0.8609819121447029;5;9;2.4000000000000004;1.1200000000000003;1.3200000000000005;0.44;1.1411764705882352;1.4233841181902125
2576266;58.38636363636363;41.5;38;18;0.5263157894736842;0.2777777777777778;6;2;0.8571428571428571;0.5;1388;1056;0.8681556195965417;0.8721590909090909;6;1;2.16;1.04;0.64;0.0;0.7474358974358973;1.9948412698412696
2576267;56.15909090909091;55.47727272727273;25;26;0.32;0.4615384615384615;0;5;0.0;0.7142857142857143;1157;1417;0.8271391529818496;0.8616796047988708;3;6;0.36;1.88;1.9600000000000009;1.84;0.9126304228445908;1.517948717948718
2576268;70.20454545454545;52.93181818181818;51;25;0.3529411764705882;0.32;5;1;0.8333333333333334;0.25;1650;909;0.8836363636363637;0.7667766776677668;11;7;1.12;0.6000000000000001;1.1200000000000003;1.88;1.250574712643678;0.7575757575757576
2576269;56.47727272727273;52.81818181818182;27;13;0.2592592592592592;0.3846153846153846;1;2;0.5;0.5;976;1101;0.7858606557377049;0.8564940962761126;4;7;0.7200000000000001;1.2000000000000002;1.2000000000000002;4.040000000000001;0.7575757575757576;0.7474358974358973
2576270;59.63636363636363;53.75;21;33;0.0952380952380952;0.1818181818181818;1;1;0.2;0.25;1049;820;0.8036224976167778;0.7658536585365854;5;5;1.4400000000000002;0.8800000000000001;0.92;3.0000000000000004;0.9166666666666666;0.9061224489795918
2576271;51.27272727272727;49.06818181818182;15;7;0.4666666666666667;0.0;3;0;0.6;0.0;921;767;0.8230184581976113;0.7548891786179922;4;2;1.04;0.8400000000000001;0.0;2.7200000000000006;0.8742424242424243;0.661344537815126
2576272;55.61363636363637;65.31818181818181;45;32;0.2;0.34375;2;4;0.4;0.8;1508;1672;0.8607427055702918;0.8642344497607656;7;5;1.2400000000000002;1.1200000000000003;0.8;0.7200000000000001;1.3102564102564105;1.4233841181902125
2576273;61.95454545454545;72.4090909090909;55;44;0.3454545454545454;0.3181818181818182;3;5;0.6;0.625;1692;2518;0.8747044917257684;0.8812549642573471;13;16;1.08;0.8;1.5200000000000002;0.4800000000000001;1.250574712643678;1.4860544217687075
2576274;65.72727272727273;58.13636363636363;55;35;0.3636363636363636;0.3714285714285714;7;4;0.7777777777777778;0.4444444444444444;1373;1352;0.8193736343772761;0.8431952662721893;8;8;3.3600000000000003;1.3600000000000003;1.84;0.8;1.517948717948718;1.4188405797101449
2576275;43.45454545454545;49.75;20;24;0.55;0.25;8;2;0.5714285714285714;0.5;1309;1154;0.893048128342246;0.8379549393414212;2;3;3.0800000000000005;0.4800000000000001;1.3600000000000003;1.7200000000000002;1.9948412698412696;0.9607843137254902
