,CuotaLocal,CuotaVisitante,Resultado
3045,-0.2412096558169576,0.013387780295815058,0
312,-0.6220924423190312,0.3283637760857879,1
542,0.6919531711131218,-0.6507616051127565,0
2740,2.126553427979417,-1.478144704383472,1
1389,-0.08173723679552901,-0.17559781717816864,0
386,-1.2061127149555437,1.0339100066553273,0
1805,-0.6220924423190312,0.5340623855812803,0
2328,1.3143958301072993,-1.0827286850532907,1
1900,-0.48731853324906693,0.18933988828883455,0
298,-0.864685478644967,0.6789457540085407,0
1611,0.27761446417505514,-0.5416330796540952,1
2129,0.5634337398592788,-0.7409112565786071,1
3534,1.1299683755905061,-1.0071344460636973,0
1361,-0.2318954916055533,0.12677913878020522,0
2789,-0.31290523915852453,0.12677913878020522,1
2666,-0.3300823060007748,0.12677913878020522,0
1014,0.1416263757441008,-0.4779747731365428,0
1337,0.896360266535901,-0.8501310266237723,0
3339,0.1943128602670883,-0.2551707003251093,1
1314,1.8549590588634184,-1.3673187612494073,0
3464,1.0326316634844206,-0.9617779026699411,0
2614,-0.14425767379824833,-0.13240110918411535,1
762,-1.6733289330647536,2.20022112249477,1
2799,-1.4821950256564402,1.7792595732533574,1
2851,-1.8835762312138977,2.531730741984017,0
30,0.8322325503248331,-0.8501310266237723,1
2200,-0.03807216968251885,-0.13240110918411535,0
1440,-0.2318954916055533,0.013387780295815058,1
679,1.233030776644008,-1.0471549255287762,1
596,-0.501721851775628,0.12677913878020522,0
2652,-0.14425767379824833,-0.03815374628799865,0
27,0.750541192094173,-0.7409112565786071,0
1010,-0.6648256329997517,0.3283637760857879,1
3093,-1.9281741429425046,2.6667455688305473,1
2778,-0.6220924423190312,0.48963148593025424,0
3441,0.3065955322013244,-0.4304883227781838,0
1464,0.5811300470887236,-0.4779747731365428,0
1457,1.0326316634844206,-0.9617779026699411,0
1841,1.9291540118299444,-1.3673187612494073,1
1082,-0.09239963690451991,-0.012779456277505676,0
2960,1.7139886482270188,-1.32463024981999,0
3053,-0.14425767379824833,0.013387780295815058,0
1345,-1.82906767243449,2.4992752547612933,0
1323,-1.996786314832668,2.886286484753265,0
786,-0.6220924423190312,0.2917120238484094,1
1682,-0.2412096558169576,-0.08666341836688217,0
806,0.8322325503248331,-0.7803517290949168,1
586,-0.3300823060007748,0.06825456665922965,0
1465,-1.1477106876918923,1.0339100066553273,0
1171,-0.19381090905225548,-0.08666341836688217,0
1709,1.9291540118299444,-1.4283023490057183,1
1723,1.0326316634844206,-0.9617779026699411,0
2584,-1.556524878537451,1.7792595732533574,1
861,0.617170087421861,-0.5989255555198922,1
1156,1.1299683755905061,-0.9617779026699411,0
1495,1.7139886482270188,-1.3673187612494073,0
707,-0.9725046059009387,0.7315330506969532,0
