version;datetime;validation;test;activation;b1;b2;batch_size;dropout;factor;factor_flag;factor_scaler;learning_rate;len_test;len_train;len_val;mode;momentum;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;neg_slope;nesterov;num_hidden_layers;optim;scaler
57;2024-06-30 15:22:50.314957;6822,8583984375;;leaky_relu;0,07956313713116869;0,08031666346455074;256;;4,0;True;maxabs;0,08363066290912416;2631;17786;5269;batchnorm;;6;25,0;18,0;4,0;5,0;0,09855844031719554;;5;adam;normalizer
58;2024-06-30 15:23:19.799799;699,587158203125;;relu;0,4374954652022713;0,20627539244509221;16;;36,0;True;normalizer;0,529973999584499;2631;17786;5269;batchnorm;;4;30,0;5,0;;;;;3;adam;normalizer
59;2024-06-30 15:26:54.313362;0,11933108419179916;;relu;0,3544213033747351;0,25422740156752816;32;;15,0;True;normalizer;0,11488173705830387;2631;17786;5269;batchnorm;;7;26,0;21,0;10,0;21,0;;;5;adam;normalizer
60;2024-06-30 15:29:17.477113;210110640,0;;relu;0,34648481942709985;0,12461746989861532;32;;8,0;True;maxabs;0,12118408671622058;2631;17786;5269;batchnorm;;7;26,0;21,0;15,0;22,0;;;5;adam;normalizer
61;2024-06-30 15:31:28.473326;3,4484333992004395;;relu;0,3118878716961047;0,2536576602305867;32;;15,0;True;normalizer;0,1993198581119836;2631;17786;5269;batchnorm;;6;27,0;23,0;9,0;21,0;;;5;adam;normalizer
62;2024-06-30 15:33:38.906617;0,4977872371673584;;relu;0,3609288938899721;0,16489120419221537;32;;20,0;True;normalizer;0,15225529212388528;2631;17786;5269;batchnorm;;4;;;;;;;1;adam;normalizer
63;2024-06-30 15:35:22.129766;3,1452198028564453;;relu;0,20608215299058005;0,051774494433068016;256;;14,0;True;normalizer;0,2823216904433673;2631;17786;5269;batchnorm;;9;23,0;21,0;7,0;9,0;;;5;adam;normalizer
64;2024-06-30 15:35:47.233214;3,4858152866363525;;relu;0,29177574940775836;0,2805127364562581;8;;88,0;True;normalizer;0,10162536153255927;2631;17786;5269;batchnorm;;3;25,0;27,0;;;;;3;adam;normalizer
65;2024-06-30 15:50:18.472823;1,0726299285888672;;leaky_relu;0,47857458292327815;0,20088060541394548;256;;35,0;True;normalizer;0,19405065814616537;2631;17786;5269;batchnorm;;8;29,0;19,0;10,0;;0,051733421664162546;;4;adam;maxabs
66;2024-06-30 15:50:42.491356;0,09143998473882675;;relu;0,2762705326313185;0,10179837928234235;256;;24,0;True;normalizer;0,1350864589823848;2631;17786;5269;batchnorm;;6;21,0;15,0;18,0;;;;4;adam;normalizer
67;2024-06-30 15:51:15.011944;0,3292115032672882;;relu;0,20372381269250794;0,09939254485785654;32;;19,0;True;normalizer;0,08387839081638385;2631;17786;5269;batchnorm;;6;20,0;;;;;;2;adam;normalizer
68;2024-06-30 15:54:04.617682;0,14379002153873444;;relu;0,144224252400276;0,054391229822638706;256;;23,0;True;normalizer;0,13163614363338164;2631;17786;5269;batchnorm;;7;23,0;15,0;18,0;19,0;;;5;adam;normalizer
69;2024-06-30 15:54:38.771444;15,24071979522705;;relu;0,3349892646026963;0,043466190819844853;64;;9,0;True;minmax;0,0685442987960116;2631;17786;5269;batchnorm;;5;21,0;12,0;;;;;3;adam;normalizer
70;2024-06-30 15:56:53.067865;0,7225300073623657;;relu;0,19738331245264154;0,12347822650168672;256;;13,0;True;normalizer;0,1641600799153596;2631;17786;5269;batchnorm;;11;24,0;15,0;17,0;;;;4;adam;normalizer
71;2024-06-30 15:57:27.508843;0,11244498193264008;;relu;0,2797785793287551;0,2105082112458066;256;;26,0;True;normalizer;0,222719667716999;2631;17786;5269;batchnorm;;4;28,0;16,0;19,0;;;;4;adam;normalizer
72;2024-06-30 15:57:49.449061;0,16131998598575592;;relu;0,2734861217696042;0,1498194134890805;256;;31,0;True;normalizer;0,2409861935088737;2631;17786;5269;batchnorm;;8;27,0;14,0;20,0;;;;4;adam;normalizer
73;2024-06-30 15:58:27.944277;0,17379000782966614;;relu;0,21976528347977858;0,010227655177328626;256;;23,0;True;normalizer;0,10692290445254132;2631;17786;5269;batchnorm;;4;26,0;16,0;19,0;;;;4;adam;normalizer
74;2024-06-30 15:58:58.959019;13,492630004882812;;leaky_relu;0,2788219107710821;0,09974034111639894;16;;40,0;True;normalizer;0,18948003795590296;2631;17786;5269;batchnorm;;6;18,0;18,0;23,0;;0,08788993801052475;;4;adam;normalizer
75;2024-06-30 16:03:19.791461;0,6729000210762024;;relu;0,16230958129059841;0,1815354461304378;256;;69,0;True;normalizer;0,13790561701952075;2631;17786;5269;batchnorm;;5;29,0;13,0;;;;;3;adam;normalizer
76;2024-06-30 16:04:27.280410;0,114485003054142;;relu;0,322683621000712;0,14079374573976666;256;;19,0;True;normalizer;0,2765602887745056;2631;17786;5269;batchnorm;;9;25,0;16,0;17,0;;;;4;adam;normalizer
77;2024-06-30 16:04:57.682840;1,1145451068878174;;relu;0,07193017536781723;0,05812674525604467;256;;33,0;True;normalizer;0,27800916352303595;2631;17786;5269;batchnorm;;9;13,0;16,0;17,0;;;;4;adam;maxabs
78;2024-06-30 16:05:19.545780;3,5327351093292236;;relu;0,254387557202346;0,13337758228762675;256;;;False;;0,3823568864869698;2631;17786;5269;batchnorm;;4;16,0;11,0;15,0;;;;4;adam;normalizer
79;2024-06-30 16:05:42.217673;0,16577501595020294;;relu;0,1885747254439385;0,3286863185025517;256;;27,0;True;normalizer;0,21205186560767794;2631;17786;5269;batchnorm;;16;22,0;29,0;22,0;;;;4;adam;normalizer
80;2024-06-30 16:06:18.121454;26059346,0;;relu;0,317464231415255;0,11119741370022182;128;;9,0;True;maxabs;0,272930283023776;2631;17786;5269;batchnorm;;10;25,0;15,0;19,0;;;;4;adam;normalizer
81;2024-06-30 16:06:56.643313;0,09737499058246613;;relu;0,39028885833522464;0,23104646675102325;256;;19,0;True;normalizer;0,16840193779315005;2631;17786;5269;batchnorm;;7;28,0;17,0;18,0;26,0;;;5;adam;normalizer
82;2024-06-30 16:07:22.456504;0,17144502699375153;;relu;0,37923203942078976;0,21588086262149178;256;;18,0;True;normalizer;0,22045997490135502;2631;17786;5269;batchnorm;;6;28,0;17,0;19,0;;;;4;adam;normalizer
83;2024-06-30 16:07:50.570291;0,07717500627040863;;relu;0,2918846691384846;0,15853145843666339;256;;22,0;True;normalizer;0,16497704018160225;2631;17786;5269;batchnorm;;5;27,0;18,0;16,0;;;;4;adam;normalizer
84;2024-06-30 16:08:32.682623;0,10862000286579132;;relu;0,2718740532151954;0,19392836338242692;256;;24,0;True;normalizer;0,16252106163966057;2631;17786;5269;batchnorm;;5;27,0;18,0;;;;;3;adam;normalizer
85;2024-06-30 16:09:08.282075;0,12481500953435898;;relu;0,22843653963625632;0,17507700160492728;256;;22,0;True;normalizer;0,17146804182886605;2631;17786;5269;batchnorm;;5;27,0;18,0;;;;;3;adam;normalizer
86;2024-06-30 16:09:44.644955;0,13333500921726227;;leaky_relu;0,27613851065212147;0,08050289983828639;256;;30,0;True;normalizer;0,09158232947095075;2631;17786;5269;batchnorm;;8;29,0;20,0;;;0,0711768768177947;;3;adam;normalizer
87;2024-06-30 16:10:07.909552;2,6983983516693115;;relu;0,23210790359802458;0,15131439765708343;8;;24,0;True;normalizer;0,14869168767506408;2631;17786;5269;batchnorm;;5;3,0;18,0;;;;;3;adam;normalizer
88;2024-06-30 16:18:08.427213;2,806190013885498;;relu;0,17453983914244842;0,033775232006912376;256;;4,0;True;minmax;0,1776958416338891;2631;17786;5269;batchnorm;;3;24,0;19,0;;;;;3;adam;normalizer
89;2024-06-30 16:18:38.820930;0,2519199848175049;;relu;0,036795560640765446;0,09995608544660885;256;;;False;;0,14509275354425483;2631;17786;5269;batchnorm;;21;27,0;;;;;;2;adam;normalizer
90;2024-06-30 16:19:09.628011;1,8379682302474976;;relu;0,25759078332103374;0,18719937822175753;64;0,13084789022098503;60,0;True;normalizer;0,11529762386066118;2631;17786;5269;dropout;;27;14,0;29,0;;;;;3;adam;normalizer
91;2024-06-30 16:20:17.612050;0,5275500416755676;;relu;0,293275532802418;0,2275806463920656;256;;26,0;True;normalizer;0,22070858082395692;2631;17786;5269;batchnorm;;4;26,0;17,0;28,0;;;;4;adam;normalizer
92;2024-06-30 16:20:45.556732;0,19002500176429749;;relu;0,29634256131216674;0,14760500749592673;256;;29,0;True;normalizer;0,17758252779513164;2631;17786;5269;batchnorm;;7;27,0;14,0;24,0;;;;4;adam;normalizer
93;2024-06-30 16:21:25.084798;0,10658500343561172;;relu;0,3360492704792866;0,21214718340555372;256;;21,0;True;normalizer;0,12724198630484565;2631;17786;5269;batchnorm;;4;28,0;14,0;20,0;;;;4;adam;normalizer
94;2024-06-30 16:21:49.661105;0,12075001001358032;;relu;0,3417133980081506;0,19383296758632335;256;;21,0;True;normalizer;0,12123112996093327;2631;17786;5269;batchnorm;;6;28,0;14,0;3,0;;;;4;adam;normalizer
95;2024-06-30 16:22:17.707289;0,0636800080537796;;relu;0,39558188111449316;0,10992919534291241;256;;18,0;True;normalizer;0,0962599650112717;2631;17786;5269;batchnorm;;3;28,0;27,0;;;;;3;adam;normalizer
96;2024-06-30 16:22:49.310243;0,08744499087333679;;relu;0,3904017824714323;0,24044994852393214;256;;17,0;True;normalizer;0,07642810291435574;2631;17786;5269;batchnorm;;3;29,0;29,0;;;;;3;adam;minmax
97;2024-06-30 16:23:22.512715;0,020589999854564667;;relu;0,39355300500097046;0,24394688668250097;256;;12,0;True;normalizer;0,07335492603238682;2631;17786;5269;batchnorm;;3;30,0;30,0;;;;;3;adam;minmax
98;2024-06-30 16:23:45.908627;0,042743902653455734;;relu;0,4039274245914224;0,2756562022407194;128;;12,0;True;normalizer;0,07319987783246922;2631;17786;5269;batchnorm;;3;30,0;29,0;;;;;3;adam;minmax
99;2024-06-30 16:24:32.560302;1451756,5;;relu;0,4173967036962502;0,24459373048663857;128;;6,0;True;maxabs;0,07044892208847828;2631;17786;5269;batchnorm;;3;30,0;30,0;;;;;3;adam;minmax
100;2024-06-30 16:25:14.515068;0,15008534491062164;;selu;;;128;;12,0;True;normalizer;0,09905146093109893;2631;17786;5269;batchnorm;0,08948798961081778;3;29,0;29,0;;;;False;3;sgd;minmax
101;2024-06-30 16:26:16.744131;0,057192686945199966;;relu;0,4032140621189979;0,2811998617415262;128;;17,0;True;normalizer;0,07727553793211908;2631;17786;5269;batchnorm;;3;30,0;27,0;;;;;3;adam;minmax
102;2024-06-30 16:26:58.283588;0,024039026349782944;;relu;0,38850119092886337;0,2783697938701483;128;;12,0;True;normalizer;0,05322301258474194;2631;17786;5269;batchnorm;;3;30,0;29,0;;;;;3;adam;minmax
103;2024-06-30 16:27:43.179878;0,022836586460471153;;relu;0,39807689556035475;0,2845625135827902;128;;12,0;True;normalizer;0,05564149685365185;2631;17786;5269;batchnorm;;3;29,0;27,0;;;;;3;adam;minmax
104;2024-06-30 16:28:31.032253;0,03857317939400673;;relu;0,4439946301682928;0,2913087995357014;128;;12,0;True;normalizer;0,05172780309642517;2631;17786;5269;batchnorm;;3;30,0;27,0;;;;;3;adam;minmax
105;2024-06-30 16:29:05.522502;0,021226830780506134;;relu;0,4295370468175771;0,302041258540658;128;;12,0;True;normalizer;0,0495696122380237;2631;17786;5269;batchnorm;;3;30,0;27,0;;;;;3;adam;minmax
106;2024-06-30 16:29:41.508489;0,024678049609065056;;relu;0,4466976945981385;0,29959190072684866;128;;12,0;True;normalizer;0,0530530475692297;2631;17786;5269;batchnorm;;3;30,0;27,0;;;;;3;adam;minmax
107;2024-06-30 16:30:21.107608;0,2751828730106354;;leaky_relu;0,44593839130668855;0,33335452438835245;128;0,22168457031079658;;False;;0,05053940640705349;2631;17786;5269;dropout;;3;30,0;27,0;;;0,09826920831430083;;3;adam;minmax
108;2024-06-30 16:31:00.107483;0,02889268659055233;;relu;0,46626326255004613;0,28101945303521875;128;;12,0;True;normalizer;0,041480428181067244;2631;17786;5269;batchnorm;;3;30,0;27,0;;;;;3;adam;minmax
109;2024-06-30 16:31:40.786697;0,020451217889785767;;relu;0,49960617424538484;0,2838121394296269;128;;12,0;True;normalizer;0,04179361910112915;2631;17786;5269;batchnorm;;3;30,0;27,0;;;;;3;adam;minmax
110;2024-06-30 16:32:13.701667;0,023163413628935814;;relu;0,5111044344038034;0,2905117008583793;128;;12,0;True;normalizer;0,041715624300098245;2631;17786;5269;batchnorm;;4;30,0;27,0;;;;;3;adam;minmax
111;2024-06-30 16:32:52.324937;0,036119505763053894;;relu;0,5083308039567748;0,2945058750332555;128;;12,0;True;normalizer;0,041160634104258735;2631;17786;5269;batchnorm;;4;30,0;27,0;;;;;3;adam;minmax
112;2024-06-30 16:33:43.769976;0,02182195335626602;;relu;0,5235602182698648;0,31095112924933;128;;12,0;True;normalizer;0,04432108918937162;2631;17786;5269;batchnorm;;4;30,0;25,0;;;;;3;adam;minmax
113;2024-06-30 16:34:20.122619;0,023409755900502205;;relu;0,5326489784760741;0,30590765248588414;128;;13,0;True;normalizer;0,0418077608173605;2631;17786;5269;batchnorm;;4;29,0;25,0;;;;;3;adam;minmax
