version;datetime;validation;test;activation;b1;b2;batch_size;dropout;gamma_pi;lamda;learning_rate;len_test;len_train;len_val;mode;momentum;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;neg_slope;nesterov;num_hidden_layers;optim;scaler
35;2024-06-30 15:55:12.379812;0,2894050180912018;;relu;;;256;0,5249806935337042;0,17181941188367458;0,08559238357467261;0,00232681701853578;2255;17639;5161;dropout;0,02884949096254506;4;16,0;20,0;13,0;;;False;4;sgd;normalizer
36;2024-06-30 15:57:11.257889;0,6872449517250061;;relu;;;128;0,6170235189066576;0,09045881219840954;0,07337411514509448;0,00516503068929036;2255;17639;5161;dropout;0,10119898086360173;15;27,0;17,0;;;;True;3;sgd;minmax
37;2024-06-30 15:59:09.339665;1,2915761470794678;;selu;;;64;;0,226780693895333;0,09914848407374748;0,0010926952219418602;2255;17639;5161;batchnorm;0,0028635361578562054;13;5,0;22,0;26,0;;;True;4;sgd;maxabs
38;2024-06-30 16:04:44.898758;0,4704149663448334;;leaky_relu;;;256;0,48366074468246334;0,15855358988521473;0,07874240596451058;0,0034383097108191658;2255;17639;5161;dropout;0,012080888391691639;6;18,0;;;;0,030972198017163347;False;2;sgd;normalizer
39;2024-06-30 16:06:26.953203;0,7879860401153564;;relu;0,9937653575365881;0,9890170233824154;32;;0,09375919115802919;0,05052631627747043;0,007963640834946453;2255;17639;5161;vanilla;;19;22,0;13,0;;;;;3;adam;normalizer
40;2024-06-30 16:09:47.462972;0,5137949585914612;;selu;;;256;0,6418450109804626;0,24979294771882843;0,05532400634292371;0,0027682870118706173;2255;17639;5161;dropout;0,005958518784387961;9;14,0;26,0;15,0;11,0;;False;5;sgd;normalizer
41;2024-06-30 16:11:42.000775;0,2662150263786316;;selu;0,7055962466620807;0,548308231721289;256;0,5007247037334721;0,3262120806692003;0,08140111868510652;0,012851847199910428;2255;17639;5161;dropout;;18;8,0;17,0;20,0;22,0;;;5;adam;normalizer
42;2024-06-30 16:13:28.778451;0,22420498728752136;;selu;0,7253317028955355;0,7328896433216044;256;0,6243039410260289;0,3389994294529882;0,08943311362380911;0,005450261968436785;2255;17639;5161;dropout;;16;8,0;21,0;20,0;21,0;;;5;adam;normalizer
43;2024-06-30 16:15:15.174060;0,6359609365463257;;selu;0,6959128273394178;0,7308589672615438;16;0,5104138560322934;0,3416850636597537;0,09418554819307082;0,005444055877721158;2255;17639;5161;dropout;;16;8,0;20,0;21,0;21,0;;;5;adam;normalizer
44;2024-06-30 16:20:39.133602;0,26045501232147217;;selu;0,8049063218493255;0,6246656914293252;256;;0,4410274438726225;0,08904268021427254;0,009126585337288185;2255;17639;5161;batchnorm;;18;10,0;22,0;19,0;22,0;;;5;adam;normalizer
45;2024-06-30 16:23:24.308699;0,18671999871730804;;leaky_relu;0,8386860022574821;0,7397895191299331;256;;0,426875448566874;0,08982636620616417;0,01021627911186274;2255;17639;5161;batchnorm;;20;10,0;22,0;24,0;22,0;0,05734132482009187;;5;adam;normalizer
46;2024-06-30 16:26:15.700091;0,19388499855995178;;leaky_relu;0,8331013762111131;0,7134477146583014;256;;0,46251216115138793;0,08889459885635942;0,025621741571326545;2255;17639;5161;batchnorm;;20;11,0;23,0;24,0;22,0;0,06641352211817125;;5;adam;normalizer
47;2024-06-30 16:28:35.200614;0,21775999665260315;;leaky_relu;0,8144018658441636;0,7343322218486044;256;;0,4581712629923955;0,09138514548293224;0,02752168555407327;2255;17639;5161;batchnorm;;21;11,0;21,0;23,0;22,0;0,06961378222642828;;5;adam;minmax
48;2024-06-30 16:31:23.888150;0,192440003156662;;leaky_relu;0,9201445126859507;0,7270398074115745;256;;0,5195454709984704;0,09573239507582876;0,031579315454720105;2255;17639;5161;batchnorm;;24;12,0;24,0;24,0;24,0;0,06696229019242719;;5;adam;minmax
49;2024-06-30 16:33:43.086180;0,21644000709056854;;leaky_relu;0,9277053474457592;0,8405272794425604;512;;0,5402702330014425;0,0973141768379051;0,03811889165003758;2255;17639;5161;batchnorm;;25;13,0;24,0;25,0;25,0;0,06481330835265396;;5;adam;minmax
50;2024-06-30 16:36:00.375087;0,18922001123428345;;leaky_relu;0,8960061813408609;0,8728288522919028;512;;0,5636379965970235;0,09512720789349509;0,05037855100937222;2255;17639;5161;batchnorm;;24;14,0;25,0;25,0;;0,05939302132629796;;4;adam;minmax
51;2024-06-30 16:38:15.795258;0,21621999144554138;;leaky_relu;0,9184382088902483;0,8561085029667368;512;;0,5442828265320686;0,09567016245452178;0,04728271567574018;2255;17639;5161;batchnorm;;25;15,0;25,0;24,0;26,0;0,059940495028556605;;5;adam;minmax
52;2024-06-30 16:40:38.289435;0,212770015001297;;leaky_relu;0,9129203499647696;0,890598941429152;512;;0,5260685429956466;0,09998748968108784;0,0663077169291961;2255;17639;5161;batchnorm;;23;15,0;25,0;25,0;25,0;0,05660257020454682;;5;adam;minmax
53;2024-06-30 16:42:54.507977;0,5154200792312622;;leaky_relu;0,9228743795127974;0,8954099608334491;512;;0,5855635725521267;0,0998632918663372;0,05489161946837427;2255;17639;5161;batchnorm;;23;16,0;28,0;29,0;;0,05475035698954911;;4;adam;minmax
54;2024-06-30 16:44:47.534540;0,23055998980998993;;leaky_relu;0,8471221624724723;0,8088437388654538;512;;0,5076318826460712;0,08620670791541415;0,08107258921017413;2255;17639;5161;batchnorm;;22;12,0;7,0;26,0;25,0;0,055435186914470753;;5;adam;minmax
55;2024-06-30 16:46:29.034122;0,40116995573043823;;leaky_relu;0,9338521085785149;0,9073721829092969;512;;0,6481293349907976;0,09606332100563322;0,02204548805772001;2255;17639;5161;batchnorm;;29;14,0;25,0;26,0;;0,06951473185510706;;4;adam;minmax
56;2024-06-30 16:48:26.956560;0,5554800033569336;;leaky_relu;0,8323840402051255;0,7740361403497381;512;;0,48812638454173574;0,09978614111628603;0,08897829363937536;2255;17639;5161;batchnorm;;21;18,0;28,0;28,0;7,0;0,07809203292818372;;5;adam;minmax
57;2024-06-30 16:50:17.284644;85541,765625;;leaky_relu;0,99792452771706;0,7066608263406453;16;;0,427809531067768;0,09068222880759248;0,029547539980500206;2255;17639;5161;batchnorm;;24;15,0;23,0;24,0;19,0;0,06279041133107231;;5;adam;minmax
58;2024-06-30 16:57:17.788902;0,5488899946212769;;leaky_relu;0,8929142794964038;0,9133353015588238;512;;0,4922373202686314;0,0852563268790549;0,015927720062248938;2255;17639;5161;batchnorm;;27;13,0;26,0;27,0;26,0;0,04842498498304259;;5;adam;minmax
59;2024-06-30 16:59:22.175077;0,2823537588119507;;leaky_relu;0,9390073424432723;0,8180653163659186;64;;0,38311237316959124;0,0943506487528233;0,019272673870703607;2255;17639;5161;batchnorm;;20;17,0;4,0;24,0;;0,05719243612988633;;4;adam;minmax
60;2024-06-30 17:03:22.672543;0,22854164242744446;;leaky_relu;0,7849194867951768;0,9237910093596833;32;;0,4689489169994566;0,09658139544548862;0,02559194701592905;2255;17639;5161;batchnorm;;22;10,0;24,0;27,0;24,0;0,06802138463210872;;5;adam;minmax
61;2024-06-30 17:07:20.824992;0,4667399823665619;;leaky_relu;0,9031689647214175;0,8670889148159324;512;;0,5399834980118493;0,09493064161450698;0,03589038292412477;2255;17639;5161;batchnorm;;25;15,0;25,0;25,0;27,0;0,05997418630871202;;5;adam;minmax
62;2024-06-30 17:09:34.588925;0,4296700060367584;;leaky_relu;0,9517150496052741;0,8496191423894217;512;;0,5249391385177713;0,09097743228470785;0,0452516160426364;2255;17639;5161;batchnorm;;24;12,0;27,0;23,0;24,0;0,08322593871457779;;5;adam;minmax
63;2024-06-30 17:11:22.690971;0,5516899824142456;;leaky_relu;0,8685968729146356;0,9919039523649651;512;;0,4344714521813392;0,09628119182862652;0,06223609968373131;2255;17639;5161;batchnorm;;26;14,0;25,0;25,0;27,0;0,07279223118674812;;5;adam;minmax
64;2024-06-30 17:13:25.258788;0,4719800055027008;;leaky_relu;0,9510773716183408;0,7934695588956426;512;;0,5576119036839916;0,08714250889010375;0,0700460574373516;2255;17639;5161;batchnorm;;22;10,0;23,0;4,0;23,0;0,06316101662357437;;5;adam;minmax
65;2024-06-30 17:15:20.903757;0,2204200029373169;;leaky_relu;0,8952676511148594;0,8748234176424011;512;;0,5054679072779841;0,09216495172304481;0,10926282813557768;2255;17639;5161;batchnorm;;20;16,0;9,0;23,0;19,0;0,05311736820613796;;5;adam;minmax
66;2024-06-30 17:17:37.715388;0,3666149973869324;;leaky_relu;0,7702389417080976;0,9385952155649325;256;;0,6401995447963176;0,09983583123585987;0,03267890618548403;2255;17639;5161;batchnorm;;25;11,0;27,0;11,0;;0,04687908861988784;;4;adam;minmax
67;2024-06-30 17:20:04.586420;0,19776999950408936;;leaky_relu;0,840356929059093;0,7580604977572103;512;;0,7224778465505295;0,08359396502989626;0,044344070444849976;2255;17639;5161;batchnorm;;23;15,0;18,0;28,0;27,0;0,05936686991163513;;5;adam;maxabs
68;2024-06-30 17:22:14.729524;2,158599376678467;;leaky_relu;0,8413132375495685;0,6791544522346976;16;;0,772382320051056;0,09058619282222533;0,042746209429811916;2255;17639;5161;batchnorm;;23;12,0;18,0;29,0;19,0;0,08784020903059282;;5;adam;maxabs
69;2024-06-30 17:30:00.695861;0,2204349935054779;;leaky_relu;0,8289550322223779;0,7672545913624391;256;;0,47550851574473957;0,08285500956035023;0,02357851020279994;2255;17639;5161;batchnorm;;21;13,0;15,0;28,0;;0,06613415998326844;;4;adam;maxabs
70;2024-06-30 17:32:06.144722;0,23138999938964844;;leaky_relu;0,7569466265435391;0,7563562593387275;256;;0,7197227137809316;0,08418552560661663;0,03252894016600229;2255;17639;5161;batchnorm;;27;19,0;12,0;30,0;28,0;0,07409437526304317;;5;adam;maxabs
71;2024-06-30 17:34:41.664247;0,33622997999191284;;leaky_relu;0,9635495839240515;0,8230926232213377;512;;0,5578830225443503;0,09635776984591464;0,05266253735333228;2255;17639;5161;batchnorm;;24;15,0;21,0;24,0;26,0;0,0602791762228095;;5;adam;maxabs
72;2024-06-30 17:36:26.415567;0,20669999718666077;;leaky_relu;0,9004499250806147;0,8875927097557482;512;;0,3988102784902459;0,09330352235525498;0,047741333925290695;2255;17639;5161;batchnorm;;26;17,0;24,0;22,0;24,0;0,051604179897560117;;5;adam;maxabs
73;2024-06-30 17:38:10.704582;0,21495001018047333;;leaky_relu;0,8670367362047564;0,9493908695647397;512;;0,40775713773398437;0,0924302692560086;0,10498910413803213;2255;17639;5161;batchnorm;;26;17,0;23,0;16,0;23,0;0,05246747775198457;;5;adam;maxabs
74;2024-06-30 17:40:26.573624;0,3065299987792969;;leaky_relu;0,960634673689219;0,8855716455875356;512;;0,3798329241214159;0,0877068769180971;0,038508034266907104;2255;17639;5161;batchnorm;;30;14,0;20,0;22,0;6,0;0,051838696077830725;;5;adam;maxabs
75;2024-06-30 17:42:12.038493;0,7813799977302551;;relu;0,9045417369207319;0,7959929535414053;512;;0,45456750637151494;0,09767935462887346;0,011033900784995294;2255;17639;5161;vanilla;;23;7,0;22,0;21,0;24,0;;;5;adam;maxabs
76;2024-06-30 17:43:50.417038;0,23539622128009796;;leaky_relu;0,8093294077850594;0,7040548400223401;64;;0,4153118335732182;0,08835479000821632;0,025764462256440065;2255;17639;5161;batchnorm;;28;17,0;24,0;27,0;;0,045421418781326495;;4;adam;maxabs
77;2024-06-30 17:47:28.953160;0,18787498772144318;;leaky_relu;0,8578285074233641;0,8990755602429829;256;;0,36596529359640884;0,09343456847616696;0,016227951516304046;2255;17639;5161;batchnorm;;20;19,0;18,0;26,0;20,0;0,09986065383598643;;5;adam;maxabs
78;2024-06-30 17:50:44.755778;0,43512001633644104;;leaky_relu;0,8545029942876757;0,9640311323156349;256;;0,26980322101791304;0,08452166021497529;0,018863498320910797;2255;17639;5161;vanilla;;19;19,0;16,0;18,0;20,0;0,0991257898937544;;5;adam;maxabs
79;2024-06-30 17:52:32.845945;0,4471300542354584;;leaky_relu;0,7603960755519521;0,8332613562651028;256;;0,36441896439030624;0,07669870389951311;0,010803140466596967;2255;17639;5161;batchnorm;;21;22,0;18,0;26,0;16,0;0,09598865166001978;;5;adam;maxabs
80;2024-06-30 17:54:36.900583;0,2008800059556961;;leaky_relu;0,8713566204268761;0,644618862853499;256;;0,4048714754012109;0,09364634355176595;0,01617000391901733;2255;17639;5161;batchnorm;;20;4,0;19,0;23,0;;0,09087087454924836;;4;adam;maxabs
