datetime;validation;test;activation;batch_size;factor_flag;learning_rate;method;mode;momentum;n_units_l1;n_units_l2;n_units_l3;nesterov;num_hidden_layers;optim;scaler
2023-12-19 20:53:31.126148;0,5302972793579102;;selu;64;False;0,15015513297320274;;vanilla;0,005623005462414062;22;19,0;27,0;False;4;sgd;maxabs
2023-12-19 20:54:29.517294;0,5314405560493469;;selu;64;False;0,11564810620938665;;vanilla;0,0043472292010072935;14;22,0;26,0;False;4;sgd;maxabs
2023-12-19 20:55:27.576337;0,5308688879013062;;selu;64;False;0,2607555955674434;;vanilla;0,0029844921722548406;14;23,0;24,0;False;5;sgd;maxabs
2023-12-19 20:56:26.179381;0,5327743887901306;;selu;64;False;0,17797504936635855;;vanilla;0,012260725177548448;9;21,0;25,0;True;4;sgd;maxabs
2023-12-19 20:57:22.687858;0,5306783318519592;;leaky_relu;64;False;0,3736332030493943;;vanilla;0,012231349881205972;8;21,0;24,0;True;4;sgd;maxabs
2023-12-19 20:58:22.965486;0,2879939079284668;;selu;16;True;0,19094409268523674;;vanilla;;5;28,0;30,0;;4;adam;maxabs
2023-12-19 21:02:17.614004;0,5230563879013062;;selu;32;False;0,281620946355179;;batchnorm;0,02125625135211499;11;26,0;21,0;True;3;sgd;maxabs
2023-12-19 21:04:07.462899;0,4597264528274536;;selu;16;False;0,44889532985223785;;vanilla;0,009065899377715993;7;24,0;;True;2;sgd;maxabs
2023-12-19 21:08:12.685369;0,5299161672592163;;leaky_relu;64;False;0,17571801165239925;;vanilla;0,013971804951814123;10;13,0;19,0;True;5;sgd;maxabs
2023-12-19 21:09:18.829945;0,4597264528274536;;selu;16;False;0,6830900850884851;anova;dropout;;9;4,0;15,0;;4;adam;normalizer
2023-12-19 21:13:17.928431;0,5310594439506531;;selu;64;False;0,11094724964802964;;vanilla;0,006913032222386769;12;22,0;26,0;True;4;sgd;maxabs
2023-12-19 21:14:15.987148;0,5274389982223511;;selu;64;False;0,08833607584537986;;vanilla;0,0018094706173017643;13;21,0;26,0;True;4;sgd;maxabs
2023-12-19 21:15:14.626875;0,5299161672592163;;selu;64;False;0,1258811098840512;;vanilla;0,003617397837267234;16;23,0;28,0;False;4;sgd;maxabs
2023-12-19 21:16:12.723188;0,5325838327407837;;selu;64;False;0,22145378937998358;;vanilla;0,03787059776674486;15;18,0;22,0;True;4;sgd;maxabs
2023-12-19 21:17:10.678815;0,5339176654815674;;selu;64;False;0,2182209260936613;;vanilla;0,03095452594752667;15;18,0;22,0;True;4;sgd;maxabs
2023-12-19 21:18:09.206670;0,5327743887901306;;selu;64;False;0,2514846300162206;;vanilla;0,039445580076859076;18;16,0;22,0;True;3;sgd;maxabs
2023-12-19 21:19:06.725398;0,5331555008888245;;selu;64;False;0,22632715192817085;;vanilla;0,03582108324888612;20;17,0;23,0;True;3;sgd;maxabs
2023-12-19 21:20:01.435121;0,43140244483947754;;selu;64;True;0,1659822863904855;;vanilla;0,02512571035162271;19;16,0;23,0;True;3;sgd;minmax
2023-12-19 21:20:58.109404;0,5341082215309143;;selu;64;False;0,284804072128777;;vanilla;0,0314851482664372;20;18,0;24,0;True;3;sgd;maxabs
2023-12-19 21:21:56.424637;0,5232469439506531;;selu;64;False;0,2781988200703168;pca;vanilla;0,04482896877577539;24;18,0;24,0;True;3;sgd;maxabs
