version;datetime;validation;test;activation;b1;b2;batch_size;dims;dropout;factor;factor_flag;factor_scaler;learning_rate;len_test;len_train;len_val;method;mode;momentum;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;neg_slope;nesterov;num_hidden_layers;optim;scaler
45;2024-01-13 19:10:15.109183;0,2522865831851959;;relu;;;32;26,0;;10,0;True;maxabs;0,05945023563515459;2631;17667;5269;anova;batchnorm;0,23539306810828592;6;13,0;3,0;6,0;;;True;4;sgd;minmax
46;2024-01-13 19:12:09.696387;0,4594131112098694;;relu;0,23361115578908448;0,6699641688127903;32;30,0;;58,0;True;normalizer;0,09534426162091171;2631;17667;5269;pca;vanilla;;9;18,0;8,0;;;;;3;adam;minmax
47;2024-01-13 19:14:03.614864;0,4594131112098694;;relu;;;32;26,0;;30,0;True;normalizer;0,020183258029847197;2631;17667;5269;anova;vanilla;0,10118672122398484;13;28,0;15,0;13,0;;;True;4;sgd;minmax
48;2024-01-13 19:15:53.253935;0,5328124761581421;;leaky_relu;;;256;28,0;0,3266997488499099;59,0;True;normalizer;0,04219682788888235;2631;17667;5269;anova;dropout;0,1567515287381221;17;15,0;17,0;;;0,04839592375445501;True;3;sgd;minmax
49;2024-01-13 19:16:42.274140;0,2515625059604645;;leaky_relu;;;256;6,0;0,35120717102296783;10,0;True;maxabs;0,06895391741789292;2631;17667;5269;anova;dropout;0,028602324201055174;18;12,0;;;;0,047800445058497947;True;2;sgd;normalizer
50;2024-01-13 19:17:03.958594;0,46210938692092896;;leaky_relu;0,9392605773226315;0,01685055880091868;256;;0,3910104639507601;10,0;True;minmax;0,4419964741633163;2631;17667;5269;;dropout;;17;15,0;17,0;;;0,03224579352659353;;3;adam;minmax
51;2024-01-13 19:17:27.845638;0,46210938692092896;;leaky_relu;;;256;28,0;0,2996525532379151;58,0;True;normalizer;0,038039838277878116;2631;17667;5269;anova;dropout;0,1579078157926464;13;20,0;16,0;;;0,07151709252287994;True;3;sgd;minmax
52;2024-01-13 19:17:51.202585;0,5335937738418579;;leaky_relu;;;256;29,0;0,43299565680434027;78,0;True;normalizer;0,024780307476812116;2631;17667;5269;anova;dropout;0,1741736513518952;15;16,0;18,0;;;0,06784607247533996;True;3;sgd;minmax
53;2024-01-13 19:18:38.409117;0,46210938692092896;;leaky_relu;;;256;29,0;0,44526211108376945;79,0;True;normalizer;0,016064984617543132;2631;17667;5269;anova;dropout;0,12466241079815517;18;16,0;13,0;;;0,062196928135865796;True;3;sgd;minmax
54;2024-01-13 19:19:01.306777;0,535937488079071;;leaky_relu;;;256;24,0;0,343705286505046;77,0;True;normalizer;0,022360247275427445;2631;17667;5269;anova;dropout;0,17195101626232764;14;13,0;;;;0,07324207619350594;True;2;sgd;minmax
55;2024-01-13 19:19:49.645569;0,533398449420929;;leaky_relu;;;256;27,0;0,3526581767445634;80,0;True;normalizer;0,022904307131164706;2631;17667;5269;anova;dropout;0,175859304856318;14;11,0;;;;0,07353046388323449;True;2;sgd;minmax
56;2024-01-13 19:20:42.020123;0,516796886920929;;leaky_relu;;;256;26,0;0,34889271161536617;83,0;True;normalizer;0,014163474201666646;2631;17667;5269;pca;dropout;0,17687554616538595;15;;;;;0,0770700282458348;True;1;sgd;normalizer
57;2024-01-13 19:21:35.443707;0,2515625059604645;;leaky_relu;;;256;30,0;0,3264414282921122;10,0;True;maxabs;0,021956213117081406;2631;17667;5269;anova;dropout;0,2861209761732818;15;11,0;;;;0,06804162714421509;True;2;sgd;minmax
58;2024-01-13 19:21:58.257971;0,5341796875;;leaky_relu;0,8002781426124949;0,228136919052701;256;27,0;0,4052520779295641;90,0;True;normalizer;0,025161391489161702;2631;17667;5269;anova;dropout;;21;10,0;;;;0,08072093971382195;;2;adam;minmax
