version;datetime;validation;test;activation;b1;b2;batch_size;dropout;gamma_pi;lamda;learning_rate;len_test;len_train;len_val;mode;momentum;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;neg_slope;nesterov;num_hidden_layers;optim;scaler
74;2024-01-26 02:15:32.660364;0,5835262537002563;;leaky_relu;;;32;;0,97027910434452;0,07357602972725402;0,5212006085664812;2607;17222;5194;batchnorm;0,08345055930099606;10;;;;;0,024522265127980832;True;1;sgd;minmax
75;2024-01-26 02:19:21.512635;0,5754243731498718;;selu;;;32;0,3883910386318745;0,9404080685311602;0,06952481293231944;0,3077359769516874;2607;17222;5194;dropout;0,022346598369461998;12;18,0;;;;;True;2;sgd;minmax
76;2024-01-26 02:22:56.061158;0,6016589403152466;;selu;;;16;;0,8424098584008207;0,06439932649138087;0,4595094341633978;2607;17222;5194;batchnorm;0,03059284457554583;14;15,0;;;;;True;2;sgd;minmax
77;2024-01-26 02:29:22.521871;0,6064814925193787;;leaky_relu;;;32;;0,9662793916130725;0,05721633730737531;0,853459254499757;2607;17222;5194;vanilla;0,04179644592802022;11;;;;;0,009130026558029771;False;1;sgd;minmax
78;2024-01-26 02:34:46.556023;0,4593749940395355;;relu;0,9732318441310946;0,6773599775122761;512;;0,8642746057320551;0,05257278937215235;0,6715242409236576;2607;17222;5194;batchnorm;;29;;;;;;;1;adam;minmax
79;2024-01-26 02:36:31.195152;0,5923827886581421;;selu;;;128;;0,8098677791306397;0,061787691377826005;0,35734526900788927;2607;17222;5194;batchnorm;0,01809171369377851;16;11,0;;;;;True;2;sgd;maxabs
80;2024-01-26 02:38:41.246426;0,6130401492118835;;selu;;;32;;0,9254318381932585;0,06598284849565395;0,1324650396106448;2607;17222;5194;vanilla;0,05771819944762561;9;;;;;;True;1;sgd;minmax
81;2024-01-26 02:42:36.130712;0,6147762537002563;;leaky_relu;;;32;;0,8986376678900443;0,04939220165139109;0,41181536524804385;2607;17222;5194;vanilla;0,06098020203904741;20;17,0;27,0;11,0;;0,032512756741677785;True;4;sgd;minmax
82;2024-01-26 02:49:01.091762;0,609375;;leaky_relu;;;32;;0,9004110842623974;0,051481399383671314;0,5881370210108495;2607;17222;5194;vanilla;0,07384093922790294;12;21,0;21,0;;;0,02973242702992319;True;3;sgd;minmax
83;2024-01-26 02:53:58.352568;0,6155478358268738;;leaky_relu;;;32;;0,9461316253802272;0,056584671683125955;0,25443560913252167;2607;17222;5194;vanilla;0,025677589779181068;17;6,0;17,0;30,0;;0,01882562552088301;True;4;sgd;minmax
84;2024-01-26 03:00:28.480609;0,6084104776382446;;leaky_relu;;;32;;0,8549966976145665;0,04615981244848453;0,4479690514049812;2607;17222;5194;vanilla;0,04088622517607353;15;13,0;15,0;;;0,026440440281546743;True;3;sgd;minmax
