datetime;validation;test;batch_size;gamma_scheduler;gamma_tabnet;lr;n_a;n_d;n_independent;n_shared;n_steps
2023-12-22 23:30:22.201632;0,5158450704225352;;512;0,42961996723138074;1,152131272801872;0,07421067411792981;36;18;4;1;3
2023-12-22 23:32:08.070586;0,5178257042253521;;512;0,4331400923576504;1,2288445930322038;0,06081099903444657;39;21;3;1;3
2023-12-22 23:35:12.461327;0,5206866197183099;;512;0,3721669853502977;1,0928053494019085;0,09306242372654508;48;22;2;1;3
2023-12-22 23:39:42.177269;0,516725352112676;;512;0,3590874682564698;1,0450883388030896;0,09236838151492041;51;17;2;1;3
2023-12-22 23:42:56.886858;0,518705985915493;;1024;0,36927659755293146;1,0931367208352107;0,039165976398092224;46;22;2;2;4
2023-12-22 23:45:38.027334;0,5160651408450704;;2048;0,3959062920177123;1,1653753139939842;0,047125070175187155;47;25;2;3;3
2023-12-22 23:48:00.595493;0,5121038732394366;;4096;0,3350077282342412;1,12562725138699;0,05999586487684162;44;37;2;1;5
2023-12-22 23:52:52.921951;0,5180457746478874;;512;0,416631567593519;1,1413591498118774;0,11143839254484487;49;23;4;1;3
2023-12-22 23:55:51.620215;0,5209066901408451;;512;0,3977106884023506;1,1834536383180647;0,07609677068494161;34;20;2;1;3
2023-12-22 23:58:03.879578;0,514524647887324;;512;0,4023454389865955;1,187940245189515;0,07298653173727691;42;20;2;1;3
2023-12-23 00:00:17.111852;0,514524647887324;;512;0,3809230122731911;1,2059002047673615;0,08246749118735634;33;21;2;1;3
2023-12-23 00:04:04.532727;0,5182658450704225;;512;0,44111870450296314;1,1822669975552924;0,05449304895715071;31;18;2;1;3
2023-12-23 00:06:16.412562;0,5116637323943662;;512;0,47103901273348575;1,1493811590375675;0,03045626019162809;38;22;2;5;4
2023-12-23 00:09:33.206633;0,4907570422535211;;8192;0,41494759022369976;1,11908487637809;0,09863697887884652;27;24;2;1;3
2023-12-23 00:11:07.059475;0,5193661971830986;;512;0,3297251022470097;1,0165240386746415;0,04038809404306269;28;20;2;2;5
2023-12-23 00:15:13.064034;0,5107834507042254;;512;0,38362921433802727;1,0577060124762172;0,06762062457596475;34;19;1;4;4
2023-12-23 00:18:20.962288;0,5132042253521126;;512;0,4916801751407461;1,089876602421732;0,12579474207762878;36;17;5;1;7
2023-12-23 00:23:57.070142;0,5118838028169014;;512;0,44407693216304467;1,108797669095732;0,13894174474094995;35;45;4;1;3
2023-12-23 00:28:46.577020;0,5162852112676056;;512;0,42685842872579327;1,0718921334139762;0,08763407885640927;40;21;3;1;3
2023-12-23 00:31:11.605367;0,5136443661971831;;512;0,39686063502557795;1,1247124260760721;0,19640585832397028;32;23;4;1;3
2023-12-23 00:33:18.236393;0,5191461267605634;;512;0,3653851896467679;1,1712606465470028;0,10623464202726735;30;27;2;1;3
2023-12-23 00:34:54.879233;0,5162852112676056;;512;0,5125118751597294;1,0284912763801288;0,04526359845768915;33;22;2;2;3
2023-12-23 00:37:02.817046;0,5160651408450704;;512;0,4688491802670809;1,1590850964242443;0,059533614352384814;38;29;3;1;3
2023-12-23 00:39:42.793992;0,5171654929577465;;512;0,5659557681691714;1,1024430861078818;0,06904206155141832;35;61;4;2;6
2023-12-23 00:44:19.346482;0,5140845070422535;;512;0,3069950006263509;1,0015332660072238;0,1619040509753418;55;20;2;1;4
2023-12-23 00:46:08.276589;0,5200264084507042;;512;0,4184151126209309;1,0875877217045464;0,07793969739841668;31;25;3;3;3
2023-12-23 00:50:18.840236;0,5118838028169014;;512;0,41898781805681307;1,0844771346338216;0,05468808822932296;30;26;2;3;3
2023-12-23 00:52:37.227966;0,5182658450704225;;512;0,44297974181256533;1,1383689807814805;0,08310699449309045;32;23;3;3;3
2023-12-23 00:56:16.669164;0,5220070422535211;;512;0,4033613376677134;1,0434874671584484;0,07479509212227939;34;19;3;3;3
