datetime;validation;test;activation;b1;b2;batch_size;dims;dropout;factor_flag;learning_rate;method;mode;n_units_l1;num_hidden_layers;optim;scaler
2023-12-20 00:02:33.324451;0,4606584906578064;;selu;0,6716811903846253;0,591957618167528;128;36,0;0,32707330839874943;False;0,036212790321228795;anova;dropout;22;1;adam;minmax
2023-12-20 00:03:15.720728;0,4422433078289032;;selu;0,39040581016413844;0,6451246924390267;256;4,0;0,29281471617250615;False;0,03299259704583016;anova;dropout;16;2;adam;minmax
2023-12-20 00:03:44.225661;0,4741908609867096;;leaky_relu;0,6293801991925376;0,6424684285429545;256;24,0;0,2828494119586172;False;0,012563779432861695;anova;dropout;12;1;adam;normalizer
2023-12-20 00:04:25.486615;0,4740513265132904;;leaky_relu;0,6507821403755095;0,8435106770367432;256;34,0;0,22370218674245654;False;0,014604528334305943;anova;dropout;11;1;adam;normalizer
2023-12-20 00:05:33.622210;0,4605189859867096;;selu;0,6625580835236716;0,866429900414988;256;33,0;0,2493855753614201;False;0,011812648223723934;anova;dropout;11;1;adam;minmax
2023-12-20 00:06:15.596731;0,43846577405929565;;leaky_relu;0,7879339941984205;0,8546374100020869;16;41,0;0,2271166018526428;False;0,04440619634257129;pca;dropout;6;1;adam;normalizer
2023-12-20 00:12:12.895473;0,4677734375;;selu;;;256;32,0;0,18701750370702475;False;0,010591623346277904;anova;dropout;3;2;sgd;minmax
2023-12-20 00:12:44.754485;0,4577288031578064;;leaky_relu;0,6161578095460152;0,765350458798203;256;41,0;0,10001742593600554;False;0,03059854048309562;anova;dropout;12;1;adam;normalizer
2023-12-20 00:13:16.871625;0,3836495578289032;;leaky_relu;0,7722725046447385;0,7389424988690202;256;31,0;;False;0,08155039360981892;anova;batchnorm;7;4;adam;normalizer
2023-12-20 00:14:26.151736;0,4597621560096741;;selu;;;32;22,0;;False;0,024053503101328325;pca;vanilla;9;1;sgd;minmax
2023-12-20 00:17:11.040284;0,4630807638168335;;relu;0,58807354834587;0,9131220331189138;64;47,0;0,32705455030941677;False;0,008784791116125814;anova;dropout;11;2;adam;maxabs
2023-12-20 00:18:32.491533;0,4765625;;leaky_relu;0,5552317362264408;0,613896844605041;256;29,0;0,26890538705206163;False;0,016559916648951352;anova;dropout;17;1;adam;normalizer
2023-12-20 00:19:29.580895;0,4780971109867096;;leaky_relu;0,6010071642862538;0,8129663246693184;256;30,0;0,27179668973134524;False;0,012739860894258674;anova;dropout;17;1;adam;normalizer
2023-12-20 00:20:20.263943;0,46086835861206055;;leaky_relu;0,5426925193865745;0,6758627506900652;32;30,0;0,2807785912454975;False;0,04081213949868407;anova;dropout;17;1;adam;normalizer
2023-12-20 00:22:40.611022;0,3385881781578064;;leaky_relu;0,7213367069235342;0,5650744412972301;256;23,0;0,3511808602070084;True;0,005367953775946262;anova;dropout;21;1;adam;normalizer
