datetime;validation;test;batch_size;gamma_scheduler;gamma_tabnet;lr;mask_type;n_a;n_d;n_independent;n_shared;n_steps;pretraining_ratio
2023-12-21 00:49:13.232031;0,5289428734105144;;512;0,9166467102429372;1,0003368110046351;0,04601836680146071;entmax;9;20;1;2;6;0,2260743150776037
2023-12-21 00:59:50.156585;0,5289428734105144;;512;0,798175247565907;1,0456006964112112;0,08913571353057448;entmax;8;36;1;2;8;0,21081570674052258
2023-12-21 01:12:52.558883;0,5287530840766749;;512;0,7570864641155926;1,0323284817226068;0,05711738763094304;entmax;10;27;2;3;3;0,23878308439228213
2023-12-21 01:16:23.597401;0,5245777187322073;;512;0,7954312395727647;1,1152840968236786;0,038222546385287735;entmax;12;12;1;2;7;0,2513783141939549
2023-12-21 01:27:51.116032;0,52704498007212;;512;0,8679996619974594;1,0684238822555807;0,07825686215014566;entmax;11;30;1;1;6;0,23003640259673272
2023-12-21 01:35:48.045849;0,528373505408996;;512;0,890472592518087;1,16619399233146;0,10661290874282953;entmax;9;34;3;2;5;0,2195878562217408
2023-12-21 01:42:47.215015;0,5279939267413172;;512;0,709263158224656;1,2070372940944865;0,026004778410232767;entmax;8;24;2;3;7;0,27735635172193707
2023-12-21 01:58:11.764660;0,5285632947428355;;2048;0,8365817779570348;1,02015634105838;0,04639066463253527;sparsemax;12;19;1;1;8;0,26454865113886705
2023-12-21 02:07:29.277573;0,5262858227367622;;8192;0,9643056589986518;1,085985269442824;0,06716647988669822;entmax;10;39;4;2;6;0,2477467260680785
2023-12-21 02:18:39.923587;0,5228696147276523;;512;0,9000618984489323;1,104187112757444;0,03748716888527597;entmax;11;26;1;2;6;0,23791746907337405
2023-12-21 02:30:41.413122;0,5279939267413172;;512;0,9291698125998852;1,0584941777926824;0,05636326255131622;entmax;13;21;1;2;6;0,20913767088837337
2023-12-21 02:40:33.291909;0,5287530840766749;;512;0,7911396345709758;1,121019509909704;0,02773596018508415;entmax;9;22;1;2;5;0,22018563146371914
2023-12-21 02:48:39.891049;0,528373505408996;;512;0,9978477675567704;1,1405203267430528;0,043353679553724905;entmax;9;15;1;3;7;0,26172675659917227
2023-12-21 03:00:15.992339;0,5230594040614918;;4096;0,860632050650912;1,1907661464842763;0,07605238117581976;entmax;10;24;1;5;7;0,20937585457486496
2023-12-21 03:12:26.428196;0,5228696147276523;;512;0,8973040375842916;1,0372767910291716;0,019307499903706386;entmax;16;31;2;1;6;0,25004622681357574
2023-12-21 03:22:15.090168;0,5295122414120327;;1024;0,8118324902913936;1,0797610710829082;0,0503421903707222;entmax;13;10;1;4;5;0,23163691754707702
2023-12-21 03:30:16.230668;0,5279939267413172;;512;0,7476545137574181;1,0477686614483055;0,032198163106844695;entmax;8;23;1;2;8;0,2874082976415308
2023-12-21 03:48:31.621823;0,5268551907382805;;512;0,8350006378158124;1,0173577045129467;0,03861553207900239;entmax;17;33;2;1;4;0,21541477106155127
2023-12-21 03:57:03.886659;0,5247675080660467;;512;0,9379200195929784;1,103134458336423;0,024778415617639316;sparsemax;23;17;1;3;7;0,22489816922166364
2023-12-21 04:09:33.808221;0,5262858227367622;;512;0,9239135258093896;1,085254685023809;0,10017971458597798;entmax;15;21;1;2;7;0,20765935153220602
2023-12-21 04:18:55.160116;0,5289428734105144;;512;0,9447346518301587;1,0580184401746395;0,09645492345151613;entmax;10;20;1;2;7;0,20088818705660663
2023-12-21 04:27:16.299372;0,525336876067565;;512;0,9754748448506954;1,014344334608096;0,12258730833432865;entmax;11;25;1;2;6;0,2373259025046477
2023-12-21 04:36:05.791094;0,5297020307458721;;1024;0,8672659707719068;1,1431076264377023;0,060014221331331885;entmax;9;9;1;2;7;0,2173502829535832
2023-12-21 04:43:04.570995;0,5312203454165876;;512;0,9053330848892294;1,0959369732914286;0,07836719380914557;entmax;8;27;1;1;8;0,20211017217849117
2023-12-21 04:56:56.865186;0,5327386600873031;0,5020904599011783;512;0,905688117480651;1,036211289810658;0,04613735425791141;entmax;8;28;1;1;8;0,22688749470525676
2023-12-21 05:08:06.384876;0,5293224520781932;;2048;0,7668984093288227;1,031467877939613;0,07738248417736193;entmax;8;29;1;1;8;0,22544726923968134
