version;datetime;validation;test;batch_size;gamma_scheduler;gamma_tabnet;len_test;len_train;len_val;lr;mask_type;n_a;n_d;n_independent;n_shared;n_steps;pretraining_ratio
58;2024-01-16 17:16:33.607188;0,5260960334029228;;1024;0,7394103115178959;1,3491312851517776;2631;17667;5269;0,017592878908975176;entmax;9;17;3;2;3;0,28434085409848403
59;2024-01-16 17:24:39.640385;0,5255266654014045;;512;0,6542728534221588;1,1467192470723409;2631;17667;5269;0,0067665398529880155;sparsemax;8;9;4;3;9;0,25564555535094263
60;2024-01-16 17:56:08.602312;0,5259062440690834;;4096;0,4917249142821295;1,2288634554544262;2631;17667;5269;0,025085006707828143;entmax;13;13;2;2;8;0,2114522740447505
61;2024-01-16 18:09:08.733367;0,5298918200797115;;512;0,592671009012429;1,380229063190212;2631;17667;5269;0,01851625006284559;entmax;8;16;3;3;3;0,21019657881670756
62;2024-01-16 18:17:28.943369;0,5224900360599735;;512;0,5766279551831688;1,4159546868543633;2631;17667;5269;0,016217369168644157;entmax;9;15;3;3;10;0,22929075126224954
63;2024-01-16 18:37:39.952597;0,5306509774150693;;512;0,5379719051958352;1,3660349697655125;2631;17667;5269;0,022409340720239344;entmax;8;20;3;3;3;0,24003872150789343
64;2024-01-16 18:46:42.299368;0,5289428734105144;;512;0,5468797879216056;1,3188259363801658;2631;17667;5269;0,029973112733344145;entmax;10;23;3;4;4;0,3118382914473746
65;2024-01-16 18:57:29.675620;0,5213513000569368;;8192;0,6313936180284901;1,362495046756616;2631;17667;5269;0,023275758940292695;entmax;12;20;3;3;3;0,2772901595654916
66;2024-01-16 19:02:14.675040;0,5289428734105144;;512;0,7066463495930809;1,3277907454267246;2631;17667;5269;0,009698444248562515;entmax;8;21;2;4;3;0,2402363984498546
67;2024-01-16 19:06:56.516009;0,5278041374074777;;4096;0,6167673335976372;1,3997696875262438;2631;17667;5269;0,043303277531526366;entmax;10;18;3;1;4;0,26343225526997865
68;2024-01-16 19:14:22.773867;0,5249572973998862;;512;0,5027573721763865;1,4449453959828011;2631;17667;5269;0,011899571206913456;entmax;11;26;4;3;6;0,24682806088789838
69;2024-01-16 19:33:26.984599;0,5304611880812299;;512;0,6697751965058416;1,2720067328814681;2631;17667;5269;0,03399599385650451;entmax;9;14;3;2;3;0,2266853998641885
70;2024-01-16 19:41:18.499074;0,5295122414120327;;512;0,6692337979864265;1,2085639505164054;2631;17667;5269;0,07750600307384524;sparsemax;18;12;3;1;5;0,3247173683702187
71;2024-01-16 19:46:25.165964;0,5289428734105144;;512;0,5692842177427965;1,2801818801613272;2631;17667;5269;0,022142375971785807;entmax;9;16;3;2;3;0,2248013459290258
72;2024-01-16 19:54:24.096525;0,5276143480736383;;512;0,6342152630251936;1,3069789294514167;2631;17667;5269;0,03479291314835074;entmax;8;17;3;2;3;0,207180485954966
73;2024-01-16 20:00:20.023692;0,528373505408996;;512;0,671333023729497;1,3558913235164196;2631;17667;5269;0,020384564762451717;entmax;9;14;3;3;3;0,22771436208016738
74;2024-01-16 20:08:43.499445;0,5287530840766749;;512;0,7157433181321868;1,2565958775084873;2631;17667;5269;0,014489833370483358;entmax;10;15;3;3;4;0,2348693537916124
75;2024-01-16 20:18:18.039085;0,5272347694059594;;512;0,535874312397804;1,1832242677069242;2631;17667;5269;0,031612905503929985;entmax;15;19;4;2;3;0,25741207727276105
76;2024-01-16 20:25:42.760489;0,5251470867337256;;1024;0,5994160567697008;1,287054027678984;2631;17667;5269;0,008886209453470583;entmax;61;15;3;3;3;0,2010142385298037
77;2024-01-16 20:33:09.767550;0,5260960334029228;;4096;0,6528208212163165;1,3356097708050578;2631;17667;5269;0,014991531998579812;entmax;9;17;1;1;4;0,22079142322437392
78;2024-01-16 20:38:26.659067;0,5306509774150693;;512;0,6872032673357593;1,4022277257928544;2631;17667;5269;0,011175314931439969;entmax;11;14;2;3;3;0,24751672019100615
79;2024-01-16 20:47:14.472943;0,5312203454165876;;512;0,7639467057685;1,405702353193543;2631;17667;5269;0,011392394916444677;entmax;11;14;2;2;7;0,2737215522725945
80;2024-01-16 21:03:40.547950;0,5186942493831846;;8192;0,7569684896425579;1,2360027214321236;2631;17667;5269;0,007311356045589961;entmax;11;12;2;2;7;0,2700296127949107
81;2024-01-16 21:16:43.797174;0,5247675080660467;;512;0,778666707578194;1,4151227963728432;2631;17667;5269;0,008726119781091219;entmax;12;14;2;2;7;0,2468754525094882
