datetime;validation;test;activation;b1;b2;batch_size;factor_flag;learning_rate;method;mode;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;num_hidden_layers;optim;scaler
2023-12-20 08:31:59.920304;0,5205357074737549;;relu;;;32;False;0,02213065611069111;anova;vanilla;5;14,0;12,0;17,0;;4;sgd;normalizer
2023-12-20 08:37:14.281309;0,5163434147834778;;leaky_relu;0,14019568013754252;0,1409813434161234;64;False;0,002436408188936684;anova;vanilla;9;3,0;;;;2;adam;normalizer
2023-12-20 08:39:00.682259;0,5274784564971924;;selu;0,18232499760329218;0,17868195470170978;64;False;0,0048662479903278264;anova;vanilla;12;12,0;13,0;29,0;21,0;5;adam;normalizer
2023-12-20 08:41:01.305845;0,5249640941619873;;selu;0,23025375118605135;0,14601106232998384;64;False;0,00363503798024557;anova;vanilla;13;11,0;13,0;29,0;23,0;5;adam;normalizer
2023-12-20 08:43:02.588997;0,5285560488700867;;selu;0,1716138690133116;0,2164197376169215;64;False;0,004192557118829465;anova;vanilla;10;15,0;17,0;27,0;22,0;5;adam;normalizer
2023-12-20 08:45:01.147999;0,5265804529190063;;selu;0,3286633507842033;0,04450865877380704;64;False;0,007983638087804818;anova;vanilla;16;13,0;15,0;24,0;25,0;5;adam;normalizer
2023-12-20 08:47:30.780212;0,5243459343910217;;selu;0,286582870875958;0,09129864090872697;128;False;0,0129832533213877;pca;vanilla;12;9,0;9,0;29,0;13,0;5;adam;normalizer
2023-12-20 08:48:34.717662;0,359375;;selu;0,11958655063120999;0,12182952332235754;64;True;0,0065254407725367555;anova;batchnorm;11;11,0;14,0;5,0;21,0;5;adam;normalizer
2023-12-20 08:50:54.728005;0,5285714268684387;;selu;0,3750722359072974;0,2768355433732025;16;False;0,0035004100316334548;anova;vanilla;13;7,0;16,0;28,0;18,0;5;adam;normalizer
2023-12-20 08:58:35.272969;0,529633641242981;;leaky_relu;0,06152422628916167;0,21225875578384748;64;False;0,004727774228530391;;vanilla;8;17,0;12,0;30,0;;4;adam;minmax
2023-12-20 09:00:31.973147;0,5267600417137146;;leaky_relu;0,07029199315729757;0,1946501512367239;64;False;0,0024806774661526826;;vanilla;8;19,0;11,0;30,0;;4;adam;minmax
2023-12-20 09:02:26.918595;0,4594109058380127;;leaky_relu;;;64;False;0,005658113507450895;;dropout;25;17,0;9,0;26,0;;4;sgd;minmax
