matchId;Div;season;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;pagerank_750D_H;pagerank_750D_A
61;D1;T00-01;2000-10-01;Freiburg;Werder Bremen;0;1;A;0,4538459798332677;0,5583442734381153
114;D1;T00-01;2000-11-18;Wolfsburg;Werder Bremen;1;1;D;0,6247523349434143;0,5583442734381153
121;D1;T00-01;2000-11-25;Freiburg;Bayern Munich;1;1;D;0,4538459798332677;0,752842679261148
66;D1;T00-01;2000-10-14;Cottbus;Bayern Munich;1;0;H;0,173983178850249;0,752842679261148
104;D1;T00-01;2000-11-11;Schalke 04;Bayern Munich;3;2;H;0,5568435980084753;0,752842679261148
87;D1;T00-01;2000-10-28;Werder Bremen;Bayern Munich;1;1;D;0,5583442734381153;0,752842679261148
62;D1;T00-01;2000-10-01;Wolfsburg;Stuttgart;2;2;D;0,6247523349434143;0,8151372310693626
88;D1;T00-01;2000-10-29;FC Koln;Stuttgart;3;2;H;0,3118332719486417;0,8151372310693626
106;D1;T00-01;2000-11-12;Cottbus;Stuttgart;2;1;H;0,173983178850249;0,8151372310693626
119;D1;T00-01;2000-11-25;Dortmund;Wolfsburg;2;1;H;0,6179381897794609;0,6247523349434143
101;D1;T00-01;2000-11-11;Munich 1860;Wolfsburg;2;2;D;0,6115160425545755;0,6247523349434143
84;D1;T00-01;2000-10-28;Hansa Rostock;Wolfsburg;1;1;D;0,6015709715007562;0,6247523349434143
71;D1;T00-01;2000-10-15;Unterhaching;Wolfsburg;0;3;A;0,4084525033953419;0,6247523349434143
64;D1;T00-01;2000-10-14;FC Koln;Bochum;2;0;H;0,3118332719486417;0,5166294008553242
81;D1;T00-01;2000-10-27;Cottbus;Bochum;2;0;H;0,173983178850249;0,5166294008553242
117;D1;T00-01;2000-11-24;Schalke 04;Bochum;2;1;H;0,5568435980084753;0,5166294008553242
105;D1;T00-01;2000-11-11;Werder Bremen;Bochum;2;0;H;0,5583442734381153;0,5166294008553242
100;D1;T00-01;2000-11-11;FC Koln;Hamburg;4;2;H;0,3118332719486417;0,5525733233981319
68;D1;T00-01;2000-10-14;Stuttgart;Hamburg;3;3;D;0,8151372310693626;0,5525733233981319
122;D1;T00-01;2000-11-25;Hansa Rostock;Hamburg;1;0;H;0,6015709715007562;0,5525733233981319
86;D1;T00-01;2000-10-28;Unterhaching;Hamburg;2;1;H;0,4084525033953419;0,5525733233981319
123;D1;T00-01;2000-11-26;Munich 1860;Unterhaching;0;2;A;0,5923291610481854;0,5210143843090103
136;D1;T00-01;2000-12-09;Dortmund;Unterhaching;3;0;H;0,6479501089242293;0,5210143843090103
135;D1;T00-01;2000-12-09;Munich 1860;Hansa Rostock;2;1;H;0,5923291610481854;0,5266889696792362
132;D1;T00-01;2000-12-03;Cottbus;Hansa Rostock;1;0;H;0,5507537976076607;0,5266889696792362
154;D1;T00-01;2000-12-16;Munich 1860;Hamburg;2;1;H;0,5923291610481854;0,5617596757285496
147;D1;T00-01;2000-12-13;Bayern Munich;Hamburg;2;1;H;0,7391982119582426;0,5617596757285496
133;D1;T00-01;2000-12-03;Kaiserslautern;Hamburg;2;1;H;0,6767644138213952;0,5617596757285496
124;D1;T00-01;2000-11-26;Leverkusen;Kaiserslautern;4;2;H;0,7037519486679237;0,6767644138213952
155;D1;T00-01;2000-12-16;Bochum;Kaiserslautern;0;1;A;0,408243901363361;0,6767644138213952
151;D1;T00-01;2000-12-13;Hertha;Kaiserslautern;2;4;A;0,656652897099486;0,6767644138213952
141;D1;T00-01;2000-12-10;Leverkusen;Hertha;4;0;H;0,7037519486679237;0,656652897099486
125;D1;T00-01;2000-11-26;Werder Bremen;Stuttgart;1;0;H;0,5671006176299564;0,4965785058287711
139;D1;T00-01;2000-12-09;Schalke 04;Stuttgart;2;1;H;0,6164597722470856;0,4965785058287711
142;D1;T00-01;2000-12-10;Werder Bremen;FC Koln;2;1;H;0,5671006176299564;0,5134010318070678
126;D1;T00-01;2000-12-02;FC Koln;Munich 1860;4;0;H;0,5134010318070678;0,5923291610481854
149;D1;T00-01;2000-12-13;Cottbus;Munich 1860;2;3;A;0,5507537976076607;0,5923291610481854
146;D1;T00-01;2000-12-13;FC Koln;Dortmund;0;0;D;0,5134010318070678;0,6479501089242293
130;D1;T00-01;2000-12-02;Stuttgart;Dortmund;0;2;A;0,4965785058287711;0,6479501089242293
156;D1;T00-01;2000-12-16;Hansa Rostock;Dortmund;1;2;A;0,5266889696792362;0,6479501089242293
153;D1;T00-01;2000-12-16;FC Koln;Schalke 04;2;2;D;0,5134010318070678;0,6164597722470856
131;D1;T00-01;2000-12-02;Wolfsburg;Schalke 04;2;0;H;0,6090279989109412;0,6164597722470856
144;D1;T00-01;2000-12-12;Unterhaching;Schalke 04;0;2;A;0,5210143843090103;0,6164597722470856
127;D1;T00-01;2000-12-02;Bayern Munich;Leverkusen;2;0;H;0,7391982119582426;0,7037519486679237
148;D1;T00-01;2000-12-13;Bochum;Leverkusen;3;2;H;0,408243901363361;0,7037519486679237
158;D1;T00-01;2000-12-16;Wolfsburg;Leverkusen;2;0;H;0,6090279989109412;0,7037519486679237
128;D1;T00-01;2000-12-02;Bochum;Ein Frankfurt;2;1;H;0,408243901363361;0,5316879855246837
143;D1;T00-01;2000-12-12;Stuttgart;Ein Frankfurt;4;1;H;0,4965785058287711;0,5316879855246837
152;D1;T00-01;2000-12-15;Unterhaching;Ein Frankfurt;2;0;H;0,5210143843090103;0,5316879855246837
129;D1;T00-01;2000-12-02;Hertha;Freiburg;2;2;D;0,656652897099486;0,5880211444921629
157;D1;T00-01;2000-12-16;Stuttgart;Freiburg;0;0;D;0,4965785058287711;0,5880211444921629
145;D1;T00-01;2000-12-12;Wolfsburg;Freiburg;1;2;A;0,6090279989109412;0,5880211444921629
160;D1;T00-01;2000-12-17;Hertha;Bayern Munich;1;3;A;0,656652897099486;0,7391982119582426
138;D1;T00-01;2000-12-09;Kaiserslautern;Bayern Munich;0;0;D;0,6767644138213952;0,7391982119582426
159;D1;T00-01;2000-12-17;Cottbus;Werder Bremen;3;1;H;0,5507537976076607;0,5671006176299564
161;D1;T00-01;2000-12-20;Unterhaching;Werder Bremen;0;0;D;0,5210143843090103;0,5671006176299564
150;D1;T00-01;2000-12-13;Hansa Rostock;Werder Bremen;5;2;H;0,5266889696792362;0,5671006176299564
134;D1;T00-01;2000-12-08;Ein Frankfurt;Wolfsburg;1;2;A;0,5316879855246837;0,6090279989109412
137;D1;T00-01;2000-12-09;Freiburg;Bochum;5;0;H;0,5880211444921629;0,408243901363361
140;D1;T00-01;2000-12-10;Hamburg;Cottbus;2;1;H;0,5617596757285496;0,5507537976076607
162;D1;T00-01;2001-01-26;Schalke 04;Hansa Rostock;2;0;H;0,808915276308429;0,4301093691003562
188;D1;T00-01;2001-02-11;Freiburg;Hansa Rostock;0;0;D;0,5083951959864942;0,4301093691003562
205;D1;T00-01;2001-02-25;Kaiserslautern;Hansa Rostock;0;1;A;0,8152511235409359;0,4301093691003562
221;D1;T00-01;2001-03-10;Hertha;Hansa Rostock;1;0;H;0,580962653929967;0,4301093691003562
186;D1;T00-01;2001-02-10;Schalke 04;Munich 1860;2;0;H;0,808915276308429;0,4335491494920686
201;D1;T00-01;2001-02-24;Freiburg;Munich 1860;0;3;A;0,5083951959864942;0,4335491494920686
224;D1;T00-01;2001-03-11;Kaiserslautern;Munich 1860;3;2;H;0,8152511235409359;0,4335491494920686
168;D1;T00-01;2001-01-27;Werder Bremen;Munich 1860;2;0;H;0,6724563935270619;0,4335491494920686
203;D1;T00-01;2001-02-24;Schalke 04;Dortmund;0;0;D;0,808915276308429;0,6475954435370619
220;D1;T00-01;2001-03-10;Freiburg;Dortmund;2;2;D;0,5083951959864942;0,6475954435370619
171;D1;T00-01;2001-02-02;Munich 1860;Dortmund;1;0;H;0,4335491494920686;0,6475954435370619
214;D1;T00-01;2001-03-04;Schalke 04;Hamburg;0;1;A;0,808915276308429;0,6087896751129263
191;D1;T00-01;2001-02-17;Dortmund;Hamburg;4;2;H;0,6475954435370619;0,6087896751129263
229;D1;T00-01;2001-03-17;Ein Frankfurt;Hamburg;1;1;D;0,6042309973469555;0,6087896751129263
176;D1;T00-01;2001-02-03;Werder Bremen;Hamburg;3;1;H;0,6724563935270619;0,6087896751129263
231;D1;T00-01;2001-03-17;Schalke 04;Freiburg;0;0;D;0,808915276308429;0,5083951959864942
212;D1;T00-01;2001-03-03;Werder Bremen;Freiburg;3;1;H;0,6724563935270619;0,5083951959864942
172;D1;T00-01;2001-02-03;FC Koln;Freiburg;0;1;A;0,6446030499338156;0,5083951959864942
190;D1;T00-01;2001-02-17;Cottbus;Freiburg;0;2;A;0,421245032342832;0,5083951959864942
163;D1;T00-01;2001-01-27;Bayern Munich;Bochum;3;2;H;0,9836313243438164;0,4678236421260002
182;D1;T00-01;2001-02-10;Hamburg;Bochum;3;0;H;0,6087896751129263;0,4678236421260002
195;D1;T00-01;2001-02-17;Wolfsburg;Bochum;0;0;D;0,6568454247304567;0,4678236421260002
230;D1;T00-01;2001-03-17;Hansa Rostock;Bochum;2;0;H;0,4301093691003562;0,4678236421260002
211;D1;T00-01;2001-03-03;Unterhaching;Bochum;2;1;H;0,6573526917588777;0,4678236421260002
181;D1;T00-01;2001-02-10;Bayern Munich;Stuttgart;1;0;H;0,9836313243438164;0,3842851830712391
223;D1;T00-01;2001-03-11;Hamburg;Stuttgart;2;2;D;0,6087896751129263;0,3842851830712391
170;D1;T00-01;2001-01-28;Leverkusen;Stuttgart;4;0;H;0,8564709305569868;0,3842851830712391
204;D1;T00-01;2001-02-25;Bochum;Stuttgart;0;0;D;0,4678236421260002;0,3842851830712391
232;D1;T00-01;2001-03-18;Unterhaching;Stuttgart;0;0;D;0,6573526917588777;0,3842851830712391
199;D1;T00-01;2001-02-24;Bayern Munich;FC Koln;1;1;D;0,9836313243438164;0,6446030499338156
165;D1;T00-01;2001-01-27;Ein Frankfurt;FC Koln;1;5;A;0,6042309973469555;0,6446030499338156
185;D1;T00-01;2001-02-10;Leverkusen;FC Koln;4;1;H;0,8564709305569868;0,6446030499338156
218;D1;T00-01;2001-03-10;Bochum;FC Koln;2;3;A;0,4678236421260002;0,6446030499338156
217;D1;T00-01;2001-03-10;Bayern Munich;Cottbus;2;0;H;0,9836313243438164;0,421245032342832
164;D1;T00-01;2001-01-27;Dortmund;Cottbus;2;0;H;0,6475954435370619;0,421245032342832
180;D1;T00-01;2001-02-09;Ein Frankfurt;Cottbus;1;0;H;0,6042309973469555;0,421245032342832
198;D1;T00-01;2001-02-23;Leverkusen;Cottbus;1;3;A;0,8564709305569868;0,421245032342832
187;D1;T00-01;2001-02-11;Dortmund;Werder Bremen;0;0;D;0,6475954435370619;0,6724563935270619
200;D1;T00-01;2001-02-24;Ein Frankfurt;Werder Bremen;1;2;A;0,6042309973469555;0,6724563935270619
216;D1;T00-01;2001-03-09;Leverkusen;Werder Bremen;3;0;H;0,8564709305569868;0,6724563935270619
206;D1;T00-01;2001-03-02;Dortmund;Ein Frankfurt;6;1;H;0,6475954435370619;0,6042309973469555
189;D1;T00-01;2001-02-16;Munich 1860;Ein Frankfurt;2;2;D;0,4335491494920686;0,6042309973469555
