matchId;Div;season;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;pagerank_1_H;pagerank_1_A;pagerank_2_H;pagerank_2_A;pagerank_5_H;pagerank_5_A;pagerank_10_H;pagerank_10_A
55;D1;T00-01;2000-09-30;Bayern Munich;Hansa Rostock;0;1;A;0,5153850594366353;0,6289757295364748;0,4923792725414136;0,66873425206858;0,8670161057555879;0,6618083243497879;0,8916728576301942;0,6007260547024289
24;D1;T00-01;2000-09-06;Ein Frankfurt;Hansa Rostock;4;0;H;0,1276777403819993;0,9612157625088616;0,2033027108907459;1,0;0,4444336074765798;0,5457703837282977;0,5496555348082763;0,6007260547024289
77;D1;T00-01;2000-10-21;Stuttgart;Unterhaching;2;2;D;0,6579499857951764;0,382100588682612;0,6406385994254159;0,3206381390273169;0,8115380568427195;0,4741224015662218;0,6498857352588098;0,5812351232987087
20;D1;T00-01;2000-09-05;Leverkusen;Unterhaching;1;0;H;0,4645044433445434;0,1935983092320706;0,6443229972705402;0,2074412955645319;0,9814127160213676;0,7554833409882207;0,775673916749904;0,5812351232987087
37;D1;T00-01;2000-09-16;Bayern Munich;Unterhaching;3;1;H;0,9522146035351116;0,1935983092320706;0,6841838467169763;0,2074412955645319;0,6523610339694217;0,7554833409882207;0,8916728576301942;0,5812351232987087
103;D1;T00-01;2000-11-11;Hansa Rostock;Unterhaching;2;2;D;0,4815339305854267;0,4017945715761508;0,5570786106922173;0,429617458018875;0,6618083243497879;0,4741224015662218;0,6007260547024289;0,5812351232987087
68;D1;T00-01;2000-10-14;Stuttgart;Hamburg;3;3;D;0,6579499857951764;0,3917916747513592;0,6406385994254159;0,459411980873494;0,8115380568427195;0,6459696908560136;0,6498857352588098;0,6051696798674108
51;D1;T00-01;2000-09-23;Wolfsburg;Hamburg;4;4;D;0,1022146051073243;0,1832856737161615;0,4375750323065977;0,4011382254616107;0,2359460017951804;0,8162798744589675;0,670229867617242;0,6051696798674108
86;D1;T00-01;2000-10-28;Unterhaching;Hamburg;2;1;H;0,4017945715761508;0,4666360358042849;0,429617458018875;0,5635205296966034;0,4741224015662218;0,6459696908560136;0,5812351232987087;0,6051696798674108
122;D1;T00-01;2000-11-25;Hansa Rostock;Hamburg;1;0;H;0,4815339305854267;0,4666360358042849;0,5570786106922173;0,5635205296966034;0,6618083243497879;0,6459696908560136;0,6007260547024289;0,6051696798674108
22;D1;T00-01;2000-09-06;Bayern Munich;Wolfsburg;3;1;H;0,9522146035351116;0,1022146051073243;0,6841838467169763;0,4375750323065977;0,6523610339694217;0,2359460017951804;0,8916728576301942;0,670229867617242
119;D1;T00-01;2000-11-25;Dortmund;Wolfsburg;2;1;H;0,2938271182812668;0,521302915266877;0,4533352692033585;0,4871135263850482;0,6061037476334592;0,7363773182532646;0,6868002259957009;0,670229867617242
101;D1;T00-01;2000-11-11;Munich 1860;Wolfsburg;2;2;D;0,319570407754274;0,521302915266877;0,500681889760761;0,4871135263850482;0,6536909143060369;0,7363773182532646;0,6851074367880617;0,670229867617242
71;D1;T00-01;2000-10-15;Unterhaching;Wolfsburg;0;3;A;0,382100588682612;0,446847439162758;0,3206381390273169;0,4531225279227551;0,4741224015662218;0,7363773182532646;0,5812351232987087;0,670229867617242
84;D1;T00-01;2000-10-28;Hansa Rostock;Wolfsburg;1;1;D;0,4815339305854267;0,521302915266877;0,5570786106922173;0,4871135263850482;0,6618083243497879;0,7363773182532646;0,6007260547024289;0,670229867617242
107;D1;T00-01;2000-11-12;Ein Frankfurt;Kaiserslautern;3;1;H;0,4016379216402213;0,439256771776728;0,4015088544605505;0,4837907891966048;0,4818465305698844;0,6360277461606316;0,5496555348082763;0,8156277916661124
82;D1;T00-01;2000-10-28;Dortmund;Kaiserslautern;1;2;A;0,2938271182812668;0,439256771776728;0,4533352692033585;0,4837907891966048;0,6061037476334592;0,6360277461606316;0,6868002259957009;0,8156277916661124
65;D1;T00-01;2000-10-14;Munich 1860;Kaiserslautern;0;4;A;0,4955213832178877;0,4601703327762367;0,5290139270506541;0,4253824660160821;0,6536909143060369;0,6360277461606316;0,6851074367880617;0,8156277916661124
27;D1;T00-01;2000-09-08;Unterhaching;Kaiserslautern;0;0;D;0,1935983092320706;0,0796477442162062;0,2074412955645319;0,2257202224768915;0,7554833409882207;0,2640947199688231;0,5812351232987087;0,8156277916661124
52;D1;T00-01;2000-09-24;Hansa Rostock;Kaiserslautern;1;0;H;0,9612157625088616;0,0796477442162062;1,0;0,2257202224768915;0,5457703837282977;0,2640947199688231;0,6007260547024289;0,8156277916661124
120;D1;T00-01;2000-11-25;Ein Frankfurt;Hertha;0;4;A;0,4016379216402213;0,5348284534964701;0,4015088544605505;0,5847768935405065;0,4818465305698844;0,8680712254913077;0,5496555348082763;0,7580286283959373
99;D1;T00-01;2000-11-10;Dortmund;Hertha;2;0;H;0,2938271182812668;0,5348284534964701;0,4533352692033585;0,5847768935405065;0,6061037476334592;0,8680712254913077;0,6868002259957009;0,7580286283959373
89;D1;T00-01;2000-10-29;Munich 1860;Hertha;0;1;A;0,319570407754274;0,5348284534964701;0,500681889760761;0,5847768935405065;0,6536909143060369;0,8680712254913077;0,6851074367880617;0,7580286283959373
33;D1;T00-01;2000-09-09;Wolfsburg;Hertha;2;1;H;0,1022146051073243;1,0;0,4375750323065977;0,6073733160976524;0,2359460017951804;0,2486985001653392;0,670229867617242;0,7580286283959373
53;D1;T00-01;2000-09-24;Unterhaching;Hertha;5;2;H;0,1935983092320706;1,0;0,2074412955645319;0,6073733160976524;0,7554833409882207;0,2486985001653392;0,5812351232987087;0,7580286283959373
70;D1;T00-01;2000-10-15;Hansa Rostock;Hertha;0;2;A;0,6289757295364748;0,4964301962711031;0,66873425206858;0,4600954131357213;0,6618083243497879;0,8680712254913077;0,6007260547024289;0,7580286283959373
123;D1;T00-01;2000-11-26;Munich 1860;Unterhaching;0;2;A;0,3534681296378761;0,3806310994446422;0,4611542122295361;0,4197202657360061;0,5963066623208272;0,5465092620968319;0,6699621680705722;0,5526275965685158
136;D1;T00-01;2000-12-09;Dortmund;Unterhaching;3;0;H;0,2993556713027029;0,3806310994446422;0,404138876409882;0,4197202657360061;0,6551682151084006;0,5465092620968319;0,8064240594157569;0,5526275965685158
184;D1;T00-01;2001-02-10;Kaiserslautern;Unterhaching;4;0;H;0,7672609142765049;0,9449682310098124;0,6339826710943872;0,6678269366496632;0,8322616329670055;0,637031687689143;0,7673237854505458;0,5526275965685158
222;D1;T00-01;2001-03-10;Wolfsburg;Unterhaching;6;1;H;0,7200594213567831;0,522187034111848;0,842492297866062;0,4930238508557208;0,6350381908976866;0,637031687689143;0,731389079480275;0,5526275965685158
215;D1;T00-01;2001-03-07;Hertha;Unterhaching;2;1;H;0,4791630302919835;0,522187034111848;0,6174831823018259;0,4930238508557208;0,6643513097761788;0,637031687689143;0,7500258355996667;0,5526275965685158
166;D1;T00-01;2001-01-27;Freiburg;Unterhaching;2;0;H;0,4897647750536779;0,9449682310098124;0,4081202484388579;0,6678269366496632;0,5163858992089262;0,637031687689143;0,6746828446791457;0,5526275965685158
135;D1;T00-01;2000-12-09;Munich 1860;Hansa Rostock;2;1;H;0,3534681296378761;0,2745003982388224;0,4611542122295361;0,2566474976530175;0,5963066623208272;0,5421611205381422;0,6699621680705722;0,6134359833254772
132;D1;T00-01;2000-12-03;Cottbus;Hansa Rostock;1;0;H;0,3786149047242842;0,2745003982388224;0,3885436744205542;0,2566474976530175;0,5852257131157851;0,5421611205381422;0,5988288018166352;0,6134359833254772
205;D1;T00-01;2001-02-25;Kaiserslautern;Hansa Rostock;0;1;A;0,5259398639888668;0,5138836283295091;0,6670242862450618;0,6355819298249126;0,8322616329670055;0,47272857135136;0,7673237854505458;0,6134359833254772
221;D1;T00-01;2001-03-10;Hertha;Hansa Rostock;1;0;H;0,4791630302919835;0,5138836283295091;0,6174831823018259;0,6355819298249126;0,6643513097761788;0,47272857135136;0,7500258355996667;0,6134359833254772
162;D1;T00-01;2001-01-26;Schalke 04;Hansa Rostock;2;0;H;0,5541128981493536;0,2248694234775103;0,5164883571339413;0,2411880776246806;0,7579475295626565;0,47272857135136;0,7664666985977611;0,6134359833254772
188;D1;T00-01;2001-02-11;Freiburg;Hansa Rostock;0;0;D;0,4897647750536779;0,2248694234775103;0,4081202484388579;0,2411880776246806;0,5163858992089262;0,47272857135136;0,6746828446791457;0,6134359833254772
154;D1;T00-01;2000-12-16;Munich 1860;Hamburg;2;1;H;0,3534681296378761;0,429507419281451;0,4611542122295361;0,5313485312336825;0,5963066623208272;0,6519098264091437;0,6699621680705722;0,6651175332697336
191;D1;T00-01;2001-02-17;Dortmund;Hamburg;4;2;H;0,4494929850449879;0,5450544776250369;0,3312232128710744;0,5541418997904121;0,7072538614582404;0,6671124892429866;0,8064240594157569;0,6651175332697336
147;D1;T00-01;2000-12-13;Bayern Munich;Hamburg;2;1;H;0,3535066905582157;0,429507419281451;0,3722213417272687;0,5313485312336825;0,7436662162612273;0,6519098264091437;0,8753915686763722;0,6651175332697336
133;D1;T00-01;2000-12-03;Kaiserslautern;Hamburg;2;1;H;0,4518545523179296;0,429507419281451;0,4481618106565103;0,5313485312336825;0,6763877621901792;0,6519098264091437;0,7673237854505458;0,6651175332697336
176;D1;T00-01;2001-02-03;Werder Bremen;Hamburg;3;1;H;0,4603769917464881;0,5450544776250369;0,3490899314690091;0,5541418997904121;0,5541178830187549;0,6671124892429866;0,7720135586804379;0,6651175332697336
214;D1;T00-01;2001-03-04;Schalke 04;Hamburg;0;1;A;0,5685817319056838;0,2919690987261866;0,531033126022913;0,2936344736827363;0,7579475295626565;0,6671124892429866;0,7664666985977611;0,6651175332697336
229;D1;T00-01;2001-03-17;Ein Frankfurt;Hamburg;1;1;D;0,523824583714335;0,2919690987261866;0,5307850620448483;0,2936344736827363;0,6119329428568556;0,6671124892429866;0,6534567986658768;0,6651175332697336
