matchId;rounds;top1_H;top2_H;top3_H;top4_H;top5_H;top6_H;top7_H;down1_H;down2_H;down3_H;down4_H;down5_H;top1_A;top2_A;top3_A;top4_A;top5_A;top6_A;top7_A;down1_A;down2_A;down3_A;down4_A;down5_A
9792;11,0;2,0;1,0;0,0;-6,0;-7,0;-7,0;-7,0;-17,0;-17,0;-17,0;-16,0;-15,0;15,0;14,0;13,0;7,0;6,0;6,0;6,0;-4,0;-4,0;-4,0;-3,0;-2,0
9793;11,0;16,0;15,0;14,0;8,0;7,0;7,0;7,0;-3,0;-3,0;-3,0;-2,0;-1,0;18,0;17,0;16,0;10,0;9,0;9,0;9,0;-1,0;-1,0;-1,0;0,0;1,0
9794;11,0;11,0;10,0;9,0;3,0;2,0;2,0;2,0;-8,0;-8,0;-8,0;-7,0;-6,0;16,0;15,0;14,0;8,0;7,0;7,0;7,0;-3,0;-3,0;-3,0;-2,0;-1,0
9795;11,0;11,0;10,0;9,0;3,0;2,0;2,0;2,0;-8,0;-8,0;-8,0;-7,0;-6,0;9,0;8,0;7,0;1,0;0,0;0,0;0,0;-10,0;-10,0;-10,0;-9,0;-8,0
9796;11,0;15,0;14,0;13,0;7,0;6,0;6,0;6,0;-4,0;-4,0;-4,0;-3,0;-2,0;16,0;15,0;14,0;8,0;7,0;7,0;7,0;-3,0;-3,0;-3,0;-2,0;-1,0
9797;11,0;9,0;8,0;7,0;1,0;0,0;0,0;0,0;-10,0;-10,0;-10,0;-9,0;-8,0;10,0;9,0;8,0;2,0;1,0;1,0;1,0;-9,0;-9,0;-9,0;-8,0;-7,0
9798;11,0;19,0;18,0;17,0;11,0;10,0;10,0;10,0;0,0;0,0;0,0;1,0;2,0;19,0;18,0;17,0;11,0;10,0;10,0;10,0;0,0;0,0;0,0;1,0;2,0
9799;11,0;8,0;7,0;6,0;0,0;-1,0;-1,0;-1,0;-11,0;-11,0;-11,0;-10,0;-9,0;9,0;8,0;7,0;1,0;0,0;0,0;0,0;-10,0;-10,0;-10,0;-9,0;-8,0
9800;12,0;0,0;-1,0;-2,0;-9,0;-10,0;-12,0;-12,0;-22,0;-20,0;-20,0;-19,0;-19,0;18,0;17,0;16,0;9,0;8,0;6,0;6,0;-4,0;-2,0;-2,0;-1,0;-1,0
9801;12,0;19,0;18,0;17,0;10,0;9,0;7,0;7,0;-3,0;-1,0;-1,0;0,0;0,0;16,0;15,0;14,0;7,0;6,0;4,0;4,0;-6,0;-4,0;-4,0;-3,0;-3,0
9802;12,0;18,0;17,0;16,0;9,0;8,0;6,0;6,0;-4,0;-2,0;-2,0;-1,0;-1,0;13,0;12,0;11,0;4,0;3,0;1,0;1,0;-9,0;-7,0;-7,0;-6,0;-6,0
9803;12,0;9,0;8,0;7,0;0,0;-1,0;-3,0;-3,0;-13,0;-11,0;-11,0;-10,0;-10,0;12,0;11,0;10,0;3,0;2,0;0,0;0,0;-10,0;-8,0;-8,0;-7,0;-7,0
9804;12,0;15,0;14,0;13,0;6,0;5,0;3,0;3,0;-7,0;-5,0;-5,0;-4,0;-4,0;22,0;21,0;20,0;13,0;12,0;10,0;10,0;0,0;2,0;2,0;3,0;3,0
9805;12,0;20,0;19,0;18,0;11,0;10,0;8,0;8,0;-2,0;0,0;0,0;1,0;1,0;10,0;9,0;8,0;1,0;0,0;-2,0;-2,0;-12,0;-10,0;-10,0;-9,0;-9,0
9806;12,0;1,0;0,0;-1,0;-8,0;-9,0;-11,0;-11,0;-21,0;-19,0;-19,0;-18,0;-18,0;14,0;13,0;12,0;5,0;4,0;2,0;2,0;-8,0;-6,0;-6,0;-5,0;-5,0
