2024-02-09 18:42:58,026 - root - WARNING - leagues: ['esp', 'ing', 'ger', 'fra']
2024-02-09 18:42:58,028 - root - WARNING - seasons: ['1718']
2024-02-09 18:43:00,979 - root - INFO - Scrapping...
2024-02-09 18:43:00,981 - root - INFO - Saving cached data to F:\TFG\code\scrapping\cache
2024-02-09 18:43:06,814 - root - INFO - reading schedule...
2024-02-09 18:43:06,816 - root - DEBUG - Retrieving https://www.whoscored.com from cache
2024-02-09 18:43:06,824 - root - DEBUG - Retrieving https://www.whoscored.com/Regions/252/Tournaments/2/England-Premier-League from cache
2024-02-09 18:43:06,844 - root - DEBUG - Retrieving https://www.whoscored.com/Regions/206/Tournaments/4/Spain-LaLiga from cache
2024-02-09 18:43:06,862 - root - DEBUG - Retrieving https://www.whoscored.com/Regions/74/Tournaments/22/France-Ligue-1 from cache
2024-02-09 18:43:06,882 - root - DEBUG - Retrieving https://www.whoscored.com/Regions/81/Tournaments/3/Germany-Bundesliga from cache
2024-02-09 18:43:11,451 - root - INFO - Scraping game schedule from https://www.whoscored.com/Regions/206/Tournaments/4/Seasons/6960/Spain-LaLiga
2024-02-09 18:44:47,513 - root - INFO - Scraping game schedule for Sunday, May 6 2018
2024-02-09 18:44:47,706 - root - INFO - Scraping game schedule for Monday, May 7 2018
2024-02-09 18:44:47,765 - root - INFO - Scraping game schedule for Wednesday, May 9 2018
2024-02-09 18:44:47,866 - root - INFO - Scraping game schedule for Saturday, May 12 2018
2024-02-09 18:44:48,226 - root - INFO - Scraping game schedule for Sunday, May 13 2018
2024-02-09 18:44:48,328 - root - INFO - Scraping game schedule for Saturday, May 19 2018
2024-02-09 18:44:48,595 - root - INFO - Scraping game schedule for Sunday, May 20 2018
2024-02-09 18:44:53,890 - root - INFO - Scraping game schedule for Friday, May 4 2018
2024-02-09 18:44:53,950 - root - INFO - Scraping game schedule for Saturday, May 5 2018
2024-02-09 18:44:54,141 - root - INFO - Scraping game schedule for Sunday, May 6 2018
2024-02-09 18:44:54,324 - root - INFO - Scraping game schedule for Monday, May 7 2018
2024-02-09 18:44:54,384 - root - INFO - Scraping game schedule for Wednesday, May 9 2018
2024-02-09 18:44:54,494 - root - INFO - Scraping game schedule for Saturday, May 12 2018
2024-02-09 18:44:54,842 - root - INFO - Scraping game schedule for Sunday, May 13 2018
2024-02-09 18:44:54,942 - root - INFO - Scraping game schedule for Saturday, May 19 2018
2024-02-09 18:44:55,206 - root - INFO - Scraping game schedule for Sunday, May 20 2018
2024-02-09 18:45:00,510 - root - INFO - Scraping game schedule for Friday, May 4 2018
2024-02-09 18:45:00,569 - root - INFO - Scraping game schedule for Saturday, May 5 2018
2024-02-09 18:45:00,760 - root - INFO - Scraping game schedule for Sunday, May 6 2018
2024-02-09 18:45:00,946 - root - INFO - Scraping game schedule for Monday, May 7 2018
2024-02-09 18:45:01,005 - root - INFO - Scraping game schedule for Wednesday, May 9 2018
2024-02-09 18:45:01,117 - root - INFO - Scraping game schedule for Saturday, May 12 2018
2024-02-09 18:45:01,487 - root - INFO - Scraping game schedule for Sunday, May 13 2018
2024-02-09 18:45:01,600 - root - INFO - Scraping game schedule for Saturday, May 19 2018
2024-02-09 18:45:01,866 - root - INFO - Scraping game schedule for Sunday, May 20 2018
2024-02-09 18:45:07,183 - root - INFO - Scraping game schedule for Friday, May 4 2018
2024-02-09 18:45:07,242 - root - INFO - Scraping game schedule for Saturday, May 5 2018
2024-02-09 18:45:07,426 - root - INFO - Scraping game schedule for Sunday, May 6 2018
2024-02-09 18:45:07,616 - root - INFO - Scraping game schedule for Monday, May 7 2018
2024-02-09 18:45:07,674 - root - INFO - Scraping game schedule for Wednesday, May 9 2018
