match,Date,season,Div,HomeTeam,AwayTeam,FTHG,FTAG,label,lgbm_top1_rs,own_original_comp_bal_fac_ss,own_original_simp_fac_ss,own_top1_adv_comp_fac_ss_miv2,tabnet_own_comp_rs_unsup_rps,tabnet_own_simp_ss_sup,tabnet_owntop1_comp_ss_sup,tabnet_paper_ss_unsup
6016,2020-02-22,T19-20,D1,Schalke 04,RB Leipzig,0,5,2.0,0.4198,0.4776,0.5967,0.5105,0.4915,0.4983,0.4414,0.2332
6017,2020-02-23,T19-20,D1,Leverkusen,Augsburg,2,0,1.0,0.6517,0.5682,0.6859,0.752,0.7709,0.5624,0.7035,0.6959
6018,2020-02-23,T19-20,D1,Wolfsburg,Mainz,4,0,1.0,0.5411,0.4196,0.5346,0.5225,0.5176,0.5351,0.5476,0.5742
6019,2020-02-24,T19-20,D1,Ein Frankfurt,Union Berlin,1,2,2.0,0.2219,0.2676,0.1646,0.1972,0.1765,0.1748,0.2068,0.3226
6020,2020-02-28,T19-20,D1,Fortuna Dusseldorf,Hertha,3,3,0.0,0.2716,0.358,0.3387,0.3199,0.2881,0.2692,0.2435,0.281
6021,2020-02-29,T19-20,D1,Augsburg,M'gladbach,2,3,2.0,0.3788,0.4994,0.5386,0.5475,0.572,0.4676,0.4195,0.3404
6022,2020-02-29,T19-20,D1,Dortmund,Freiburg,1,0,1.0,0.7536,0.6448,0.836,0.8001,0.8135,0.9153,0.8282,0.6859
6023,2020-02-29,T19-20,D1,Hoffenheim,Bayern Munich,0,6,2.0,0.5286,0.6012,0.648,0.6689,0.5601,0.7092,0.5877,0.7201
6024,2020-02-29,T19-20,D1,Mainz,Paderborn,2,0,1.0,0.5153,0.3712,0.5074,0.5342,0.5553,0.5693,0.5524,0.4652
6025,2020-02-29,T19-20,D1,FC Koln,Schalke 04,3,0,1.0,0.3756,0.436,0.4033,0.4779,0.5302,0.4719,0.4272,0.2019
6026,2020-03-01,T19-20,D1,Union Berlin,Wolfsburg,2,2,0.0,0.2888,0.3364,0.3231,0.3341,0.2893,0.2636,0.2931,0.2776
6027,2020-03-01,T19-20,D1,RB Leipzig,Leverkusen,1,1,0.0,0.2449,0.3483,0.2727,0.2409,0.2532,0.1202,0.1729,0.2545
6028,2020-03-06,T19-20,D1,Paderborn,FC Koln,1,2,2.0,0.3255,0.4731,0.4334,0.4118,0.314,0.3584,0.2875,0.3172
6029,2020-03-07,T19-20,D1,Freiburg,Union Berlin,3,1,1.0,0.4826,0.3022,0.3918,0.4739,0.544,0.4722,0.4154,0.369
6030,2020-03-07,T19-20,D1,Hertha,Werder Bremen,2,2,0.0,0.2707,0.3553,0.3351,0.2838,0.2965,0.2976,0.2335,0.294
6031,2020-03-07,T19-20,D1,Leverkusen,Ein Frankfurt,4,0,1.0,0.629,0.4609,0.6134,0.6409,0.7814,0.6354,0.668,0.6913
6032,2020-03-07,T19-20,D1,Schalke 04,Hoffenheim,1,1,0.0,0.2951,0.3442,0.3381,0.2714,0.2738,0.2707,0.2967,0.1941
6033,2020-03-07,T19-20,D1,Wolfsburg,RB Leipzig,0,0,0.0,0.2394,0.3265,0.2315,0.2787,0.2697,0.256,0.2566,0.2734
6034,2020-03-07,T19-20,D1,M'gladbach,Dortmund,1,2,2.0,0.2939,0.4373,0.3831,0.3933,0.4275,0.3851,0.4125,0.4716
6035,2020-03-08,T19-20,D1,Bayern Munich,Augsburg,2,0,1.0,0.8167,0.8115,0.836,0.9104,0.848,0.797,0.9396,0.7514
6036,2020-03-08,T19-20,D1,Mainz,Fortuna Dusseldorf,1,1,0.0,0.2627,0.3517,0.3208,0.286,0.2325,0.2723,0.2643,0.286
6037,2020-03-11,T19-20,D1,M'gladbach,FC Koln,2,1,1.0,0.6153,0.3604,0.6329,0.5397,0.7917,0.6343,0.5916,0.5892
6038,2020-05-16,T19-20,D1,Augsburg,Wolfsburg,1,2,2.0,0.3586,,,,,,,0.331
6039,2020-05-16,T19-20,D1,Dortmund,Schalke 04,4,0,1.0,0.6874,,,,,,,0.5807
6040,2020-05-16,T19-20,D1,Fortuna Dusseldorf,Paderborn,0,0,0.0,0.2501,,,,,,,0.2844
6041,2020-05-16,T19-20,D1,Hoffenheim,Hertha,0,3,2.0,0.2498,,,,,,,0.2427
6042,2020-05-16,T19-20,D1,RB Leipzig,Freiburg,1,1,0.0,0.1986,,,,,,,0.241
6043,2020-05-16,T19-20,D1,Ein Frankfurt,M'gladbach,1,3,2.0,0.3598,,,,,,,0.3404
6044,2020-05-17,T19-20,D1,FC Koln,Mainz,2,2,0.0,0.2611,,,,,,,0.2552
6045,2020-05-17,T19-20,D1,Union Berlin,Bayern Munich,0,2,2.0,0.5736,,,,,,,0.7431
6046,2020-05-18,T19-20,D1,Werder Bremen,Leverkusen,1,4,2.0,0.5177,,,,,,,0.3811
6047,2020-05-22,T19-20,D1,Hertha,Union Berlin,4,0,1.0,0.4573,,,,,,,0.5105
6048,2020-05-23,T19-20,D1,Freiburg,Werder Bremen,0,1,2.0,0.306,,,,,,,0.4091
6049,2020-05-23,T19-20,D1,M'gladbach,Leverkusen,1,3,2.0,0.2963,,,,,,,0.4103
6050,2020-05-23,T19-20,D1,Paderborn,Hoffenheim,1,1,0.0,0.2662,,,,,,,0.2817
6051,2020-05-23,T19-20,D1,Wolfsburg,Dortmund,0,2,2.0,0.4669,,,,,,,0.448
6052,2020-05-23,T19-20,D1,Bayern Munich,Ein Frankfurt,5,2,1.0,0.8077,,,,,,,0.7388
6053,2020-05-24,T19-20,D1,Schalke 04,Augsburg,0,3,2.0,0.2231,,,,,,,0.1035
6054,2020-05-24,T19-20,D1,Mainz,RB Leipzig,0,5,2.0,0.5933,,,,,,,0.4219
6055,2020-05-24,T19-20,D1,FC Koln,Fortuna Dusseldorf,2,2,0.0,0.2497,,,,,,,0.2686
6056,2020-05-26,T19-20,D1,Dortmund,Bayern Munich,0,1,2.0,0.3154,0.5188,0.3107,0.5342,0.6199,0.144,0.5125,0.3933
6057,2020-05-26,T19-20,D1,Ein Frankfurt,Freiburg,3,3,0.0,0.2765,0.3534,0.3391,0.2876,0.3068,0.2639,0.2751,0.2715
6058,2020-05-26,T19-20,D1,Leverkusen,Wolfsburg,1,4,2.0,0.2057,0.1342,0.0923,0.0801,0.0617,0.0874,0.0662,0.0981
6059,2020-05-26,T19-20,D1,Werder Bremen,M'gladbach,0,0,0.0,0.2487,0.3097,0.2206,0.2813,0.2394,0.2269,0.2695,0.2266
6060,2020-05-27,T19-20,D1,RB Leipzig,Hertha,2,2,0.0,0.1702,0.2901,0.1703,0.1525,0.1249,0.1158,0.1468,0.2465
6061,2020-05-27,T19-20,D1,Augsburg,Paderborn,0,0,0.0,0.2459,0.3434,0.2731,0.2959,0.2572,0.2966,0.2545,0.2832
6062,2020-05-27,T19-20,D1,Fortuna Dusseldorf,Schalke 04,2,1,1.0,0.3947,0.3391,0.4061,0.3883,0.3125,0.411,0.4127,0.2303
6063,2020-05-27,T19-20,D1,Hoffenheim,FC Koln,3,1,1.0,0.4448,0.2939,0.3984,0.5073,0.4847,0.4565,0.4046,0.5325
6064,2020-05-27,T19-20,D1,Union Berlin,Mainz,1,1,0.0,0.2696,0.3545,0.3387,0.2808,0.3066,0.277,0.2461,0.2748
6065,2020-05-29,T19-20,D1,Freiburg,Leverkusen,0,1,2.0,0.5282,0.4855,0.4643,0.5196,0.4912,0.4227,0.4479,0.5372
6066,2020-05-30,T19-20,D1,Hertha,Augsburg,2,0,1.0,0.4642,0.439,0.5548,0.4951,0.6176,0.5177,0.443,0.5
6067,2020-05-30,T19-20,D1,Mainz,Hoffenheim,0,1,2.0,0.3871,0.424,0.3492,0.4224,0.4439,0.3536,0.4269,0.2507
6068,2020-05-30,T19-20,D1,Schalke 04,Werder Bremen,0,1,2.0,0.2932,0.3512,0.2493,0.2456,0.2708,0.1601,0.211,0.1646
6069,2020-05-30,T19-20,D1,Wolfsburg,Ein Frankfurt,1,2,2.0,0.2061,0.2709,0.1678,0.2459,0.2321,0.1911,0.2188,0.1784
6070,2020-05-30,T19-20,D1,Bayern Munich,Fortuna Dusseldorf,5,0,1.0,0.8205,0.7423,0.836,0.8935,0.8707,0.9763,0.9143,0.7541
6071,2020-05-31,T19-20,D1,M'gladbach,Union Berlin,4,1,1.0,0.6363,0.5434,0.7151,0.7255,0.7903,0.6767,0.6583,0.5687
6072,2020-05-31,T19-20,D1,Paderborn,Dortmund,1,6,2.0,0.6245,0.5713,0.8427,0.6521,0.6314,0.7182,0.814,0.5796
6073,2020-06-01,T19-20,D1,FC Koln,RB Leipzig,2,4,2.0,0.5956,0.5212,0.6295,0.6001,0.5226,0.5552,0.5476,0.5611
6074,2020-06-03,T19-20,D1,Werder Bremen,Ein Frankfurt,0,3,2.0,0.2812,0.377,0.2841,0.3201,0.3465,0.3004,0.3801,0.1441
6075,2020-06-05,T19-20,D1,Freiburg,M'gladbach,1,0,1.0,0.3026,0.2045,0.2525,0.2562,0.2484,0.3408,0.3101,0.3851
6076,2020-06-06,T19-20,D1,Ein Frankfurt,Mainz,0,2,2.0,0.2208,0.2218,0.1637,0.1711,0.1735,0.1423,0.2513,0.3423
6077,2020-06-06,T19-20,D1,Fortuna Dusseldorf,Hoffenheim,2,2,0.0,0.2803,0.3316,0.2834,0.2958,0.2505,0.2366,0.256,0.282
6078,2020-06-06,T19-20,D1,Leverkusen,Bayern Munich,2,4,2.0,0.3772,0.5959,0.5918,0.5825,0.6056,0.6281,0.525,0.5455
6079,2020-06-06,T19-20,D1,RB Leipzig,Paderborn,1,1,0.0,0.1437,0.2193,0.1237,0.106,0.1211,0.1913,0.1114,0.2614
6080,2020-06-06,T19-20,D1,Dortmund,Hertha,1,0,1.0,0.765,0.5518,0.8174,0.7651,0.8492,0.8359,0.8699,0.7067
6081,2020-06-07,T19-20,D1,Werder Bremen,Wolfsburg,0,1,2.0,0.3807,0.412,0.4556,0.3714,0.4267,0.395,0.3894,0.1292
