;Var.1;Var.2;Pearson Corr.;Spearman Corr.
116;goals_A;passes_acc_11H;-0.04633230703481367;-0.04633230703481367
117;goals_A;passes_acc_11A;0.32802012814301795;0.32802012814301795
118;goals_A;keyPasses_H;-0.004680797872889138;-0.004680797872889138
119;goals_A;keyPasses_A;0.30248158408132336;0.30248158408132336
120;goals_A;ataque_h;-0.0001965285869027734;-0.0001965285869027734
121;goals_A;defensa_h;-0.019998846131337244;-0.019998846131337244
122;goals_A;ataque_a;0.7699795584361593;0.7699795584361593
123;goals_A;defensa_a;-0.23096460973908098;-0.23096460973908098
124;goals_ratio_H;goals_ratio_A;-0.030076508422624257;-0.030076508422624257
125;goals_ratio_H;passes_11H;0.16222568510704433;0.16222568510704433
126;goals_ratio_H;passes_11A;-0.0049490651029503036;-0.0049490651029503036
127;goals_ratio_H;passes_acc_11H;-0.042811605096955266;-0.042811605096955266
128;goals_ratio_H;passes_acc_11A;0.008896322596584036;0.008896322596584036
129;goals_ratio_H;keyPasses_H;0.1864984282538269;0.1864984282538269
130;goals_ratio_H;keyPasses_A;-0.029617223076538714;-0.029617223076538714
131;goals_ratio_H;ataque_h;0.05385299935753292;0.05385299935753292
132;goals_ratio_H;defensa_h;-0.06926427895890297;-0.06926427895890297
133;goals_ratio_H;ataque_a;0.016842519642446353;0.016842519642446353
134;goals_ratio_H;defensa_a;0.021391074252017056;0.021391074252017056
135;goals_ratio_A;passes_11H;-0.009704110490589262;-0.009704110490589262
136;goals_ratio_A;passes_11A;0.16882070284775594;0.16882070284775594
137;goals_ratio_A;passes_acc_11H;-0.009057177847473778;-0.009057177847473778
138;goals_ratio_A;passes_acc_11A;0.04350083821633833;0.04350083821633833
139;goals_ratio_A;keyPasses_H;-0.024137857720223338;-0.024137857720223338
140;goals_ratio_A;keyPasses_A;0.1339047234019029;0.1339047234019029
141;goals_ratio_A;ataque_h;0.030134049938941695;0.030134049938941695
142;goals_ratio_A;defensa_h;0.018129669971717104;0.018129669971717104
143;goals_ratio_A;ataque_a;0.16828169069245544;0.16828169069245544
144;goals_ratio_A;defensa_a;-0.1351288280829378;-0.1351288280829378
145;passes_11H;passes_11A;0.08895116750372078;0.08895116750372078
146;passes_11H;passes_acc_11H;0.6497813012031012;0.6497813012031012
147;passes_11H;passes_acc_11A;0.014095095706405252;0.014095095706405252
148;passes_11H;keyPasses_H;0.5246391539810414;0.5246391539810414
149;passes_11H;keyPasses_A;0.013015139671672012;0.013015139671672012
150;passes_11H;ataque_h;0.3772945111463367;0.3772945111463367
151;passes_11H;defensa_h;-0.1874140621967629;-0.1874140621967629
152;passes_11H;ataque_a;-0.013376275160853752;-0.013376275160853752
153;passes_11H;defensa_a;-0.012269842261117974;-0.012269842261117974
154;passes_11A;passes_acc_11H;0.03713847126294535;0.03713847126294535
155;passes_11A;passes_acc_11A;0.6837182418795221;0.6837182418795221
156;passes_11A;keyPasses_H;0.0418493859774504;0.0418493859774504
157;passes_11A;keyPasses_A;0.5208506769231115;0.5208506769231115
158;passes_11A;ataque_h;0.021071712317489753;0.021071712317489753
159;passes_11A;defensa_h;-0.03238294116302792;-0.03238294116302792
160;passes_11A;ataque_a;0.34928425179806144;0.34928425179806144
161;passes_11A;defensa_a;-0.27805669241762165;-0.27805669241762165
162;passes_acc_11H;passes_acc_11A;-0.013036491175662322;-0.013036491175662322
163;passes_acc_11H;keyPasses_H;0.23457753247279428;0.23457753247279428
164;passes_acc_11H;keyPasses_A;0.007367858694965292;0.007367858694965292
165;passes_acc_11H;ataque_h;0.4077983431974185;0.4077983431974185
166;passes_acc_11H;defensa_h;-0.08282270860248574;-0.08282270860248574
167;passes_acc_11H;ataque_a;-0.056837104524303544;-0.056837104524303544
168;passes_acc_11H;defensa_a;0.019325079348255565;0.019325079348255565
169;passes_acc_11A;keyPasses_H;-0.004439404500669597;-0.004439404500669597
170;passes_acc_11A;keyPasses_A;0.3216370274951743;0.3216370274951743
171;passes_acc_11A;ataque_h;-0.039138895529370825;-0.039138895529370825
172;passes_acc_11A;defensa_h;0.007130705578898142;0.007130705578898142
173;passes_acc_11A;ataque_a;0.36545686791073073;0.36545686791073073
174;passes_acc_11A;defensa_a;-0.12055754572216147;-0.12055754572216147
175;keyPasses_H;keyPasses_A;0.010358725496761747;0.010358725496761747
176;keyPasses_H;ataque_h;0.23361648299035537;0.23361648299035537
177;keyPasses_H;defensa_h;-0.11698194017125566;-0.11698194017125566
178;keyPasses_H;ataque_a;-0.02697281576627352;-0.02697281576627352
179;keyPasses_H;defensa_a;0.02410934997008883;0.02410934997008883
180;keyPasses_A;ataque_h;-0.03064818892651008;-0.03064818892651008
181;keyPasses_A;defensa_h;-0.04063537578270931;-0.04063537578270931
182;keyPasses_A;ataque_a;0.2768611317268128;0.2768611317268128
183;keyPasses_A;defensa_a;-0.1577583005452287;-0.1577583005452287
184;ataque_h;defensa_h;-0.19043934862669842;-0.19043934862669842
185;ataque_h;ataque_a;-0.012677042049191775;-0.012677042049191775
186;ataque_h;defensa_a;-0.024253303989955337;-0.024253303989955337
187;defensa_h;ataque_a;-0.007071990484750607;-0.007071990484750607
188;defensa_h;defensa_a;0.014518217130364412;0.014518217130364412
189;ataque_a;defensa_a;-0.2283703000654162;-0.2283703000654162
